gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
35,B0_xp,763,0.8902,1.8521,0.1033,0.7651,83.0,2
35,B1_season_pts,763,1.1289,2.1922,-0.0171,0.5743,40.0,2
35,B2_pp90,763,1.7158,2.7193,-0.764,0.5347,32.0,2
35,B3_v1,763,1.0119,2.1425,0.2506,0.6116,54.0,10
36,B0_xp,765,1.2392,2.9167,1.2314,0.4225,28.0,7
36,B1_season_pts,765,1.2018,2.3078,0.0788,0.568,48.0,7
36,B2_pp90,765,1.7385,2.7389,-0.6891,0.5395,66.0,7
36,B3_v1,765,1.1089,2.3146,0.2423,0.6341,64.0,0
37,B0_xp,775,0.9626,1.8714,-0.0093,0.7837,70.0,2
37,B1_season_pts,775,1.2347,2.3315,0.126,0.5498,47.0,6
37,B2_pp90,775,1.7153,2.7129,-0.6728,0.5374,70.0,6
37,B3_v1,775,1.0927,2.1849,0.1466,0.6763,53.0,7
38,B0_xp,778,0.8339,1.6551,0.0553,0.7337,85.0,5
38,B1_season_pts,778,1.1288,2.0643,-0.0885,0.4917,46.0,0
38,B2_pp90,778,1.6944,2.6091,-0.9071,0.4978,20.0,0
38,B3_v1,778,0.9488,1.9639,0.1277,0.6269,42.0,2
