season,e024_gate,candidate,gw,xi0_worse_gw,rule_choice,score_rule,xi0_rule,cap_rule,xi0_ctrl,xi0_cand,xi0_hold,cap_ctrl,cap_cand,cap_hold,score_ctrl,score_cand,score_hold,pair_feasible,pair_reason,xi0_pair,cap_pair,score_pair,n_hold_swaps,n_menu
2025-26,FAIL,v1_adxg,12,1,hold,48.6328,2,29.0,1,2,2,31.0,29.0,29.0,48.5556,48.6328,48.6328,1,ok,2,29.0,48.6328,0,4
2025-26,FAIL,v1_adxg,13,0,hold,48.062,0,49.0,1,0,0,47.0,49.0,49.0,47.6452,48.062,48.062,1,ok,0,52.0,47.9192,0,4
2025-26,FAIL,v1_adxg,14,0,hold,47.3908,0,52.0,0,0,0,51.0,52.0,52.0,46.4808,47.3908,47.3908,1,ok,0,52.0,46.9256,0,4
2025-26,FAIL,v1_adxg,15,0,hold,48.3072,1,56.0,1,1,1,57.0,56.0,56.0,47.5624,48.3072,48.3072,1,ok,1,64.0,48.024,0,4
2025-26,FAIL,v1_adxg,16,0,hold,48.4328,0,75.0,0,0,0,81.0,75.0,75.0,47.8824,48.4328,48.4328,1,ok,0,77.0,48.1748,0,4
2025-26,FAIL,v1_adxg,17,0,hold,49.1064,0,79.0,0,0,0,78.0,79.0,79.0,48.2356,49.1064,49.1064,1,ok,0,75.0,48.9324,0,4
2025-26,FAIL,v1_adxg,18,0,hold,48.3676,3,33.0,3,3,3,29.0,33.0,33.0,48.0772,48.3676,48.3676,1,ok,3,36.0,48.2224,0,4
2025-26,FAIL,v1_adxg,19,0,hold,47.2356,1,48.0,1,1,1,59.0,48.0,48.0,46.7888,47.2356,47.2356,1,ok,1,53.0,47.1004,0,4
2025-26,FAIL,v1_adxg,20,0,hold,46.9484,0,43.0,0,0,0,35.0,43.0,43.0,46.5056,46.9484,46.9484,1,ok,0,34.0,46.9272,0,4
2025-26,FAIL,v1_adxg,22,0,hold,47.3204,0,46.0,0,0,0,47.0,46.0,46.0,46.0632,47.3204,47.3204,1,ok,0,46.0,46.588,0,4
2025-26,FAIL,v1_adxg,23,0,hold,50.9008,0,33.0,0,0,0,23.0,33.0,33.0,50.3996,50.9008,50.9008,1,ok,0,29.0,50.8264,0,4
2025-26,FAIL,v1_adxg,24,0,hold,48.6176,0,80.0,0,0,0,78.0,80.0,80.0,47.9076,48.6176,48.6176,1,ok,0,84.0,48.2732,0,4
2025-26,FAIL,v1_adxg,25,0,hold,50.0984,0,64.0,0,0,0,59.0,64.0,64.0,49.926,50.0984,50.0984,1,ok,0,64.0,50.082,0,4
2025-26,FAIL,v1_adxg,26,0,pair,72.1008,0,82.0,0,0,0,81.0,94.0,94.0,69.698,70.0248,70.0248,1,ok,0,82.0,72.1008,0,4
2025-26,FAIL,v1_adxg,27,0,hold,53.3528,0,39.0,1,0,0,34.0,39.0,39.0,52.8348,53.3528,53.3528,1,ok,0,37.0,53.03,0,4
2025-26,FAIL,v1_adxg,28,0,hold,52.842,1,65.0,1,1,1,56.0,65.0,65.0,52.612,52.842,52.842,1,ok,1,63.0,52.7496,0,4
2025-26,FAIL,v1_adxg,29,0,hold,50.9224,0,78.0,0,0,0,89.0,78.0,78.0,50.2448,50.9224,50.9224,0,primary_unpaired,,,,0,3
2025-26,FAIL,v1_adxg,30,1,cand,54.7396,1,65.0,0,1,0,68.0,65.0,71.0,53.888,54.7396,54.4448,1,ok,0,74.0,54.1924,1,4
2025-26,FAIL,v1_adxg,31,0,hold,49.3636,0,67.0,0,0,0,68.0,67.0,67.0,49.354,49.3636,49.3636,1,ok,0,67.0,49.3636,0,4
2025-26,FAIL,v1_adxg,32,0,hold,53.3924,0,69.0,0,0,0,55.0,69.0,69.0,52.772,53.3924,53.3924,1,ok,0,55.0,53.2612,0,4
2025-26,FAIL,v1_adxg,33,0,hold,98.8764,1,89.0,1,1,1,85.0,89.0,89.0,98.554,98.8764,98.8764,1,ok,1,89.0,98.8764,0,4
2025-26,FAIL,v1_adxg,34,0,hold,51.7624,0,48.0,0,0,0,48.0,48.0,48.0,51.4888,51.7624,51.7624,1,ok,0,48.0,51.7624,0,4
2025-26,FAIL,v1_adxg,35,0,hold,54.6484,0,61.0,0,0,0,64.0,61.0,61.0,54.3088,54.6484,54.6484,1,ok,0,60.0,54.5,0,4
2025-26,FAIL,v1_adxg,36,0,pair,90.438,2,63.0,2,2,2,66.0,54.0,54.0,85.78,86.1876,85.914,1,ok,2,63.0,90.438,1,4
2025-26,FAIL,v1_adxg,37,1,hold,58.042,0,68.0,0,1,0,71.0,59.0,68.0,57.4352,57.4728,58.042,1,ok,0,71.0,57.604,1,4
2025-26,FAIL,v1_adxg,38,1,cand,54.0388,5,25.0,3,5,4,28.0,25.0,26.0,53.2732,54.0388,53.9052,1,ok,4,26.0,53.75,1,4
