season,e024_gate,candidate,gw,primary_mover_id,n_enter,n_companion,n_blank_companion,xi0_ctrl,xi0_cand,xi0_worse_gw,cap_ctrl,cap_cand,pair_feasible,pair_reason,xi0_pair,cap_pair,pair_xi0_better,pair_cap_better,hold_feasible,n_hold_swaps,xi0_hold,cap_hold,hold_xi0_better,hold_cap_better
2023-24,PASS,v1_adxg,38,303,4,3,0,0,0,0,55.0,47.0,1,ok,0,36.0,0,0,1,0,0,47.0,0,0
2024-25,PASS,v1_adxg,1,578,2,1,0,1,2,1,51.0,58.0,1,ok,2,55.0,0,0,1,0,2,58.0,0,0
2024-25,PASS,v1_adxg,2,345,4,3,1,2,3,1,61.0,77.0,1,ok,2,87.0,1,1,1,1,2,80.0,1,1
2024-25,PASS,v1_adxg,3,186,2,1,0,2,3,1,54.0,58.0,1,ok,3,52.0,0,0,1,0,3,58.0,0,0
2024-25,PASS,v1_adxg,5,327,4,3,0,2,1,0,61.0,77.0,1,ok,2,75.0,0,0,1,0,1,77.0,0,0
2024-25,PASS,v1_adxg,6,24,2,1,0,0,1,1,55.0,45.0,1,ok,1,54.0,0,1,1,0,1,45.0,0,0
2024-25,PASS,v1_adxg,7,328,5,4,0,1,1,0,57.0,46.0,1,ok,1,58.0,0,1,1,0,1,46.0,0,0
2024-25,PASS,v1_adxg,8,58,3,2,0,0,0,0,47.0,58.0,1,ok,0,53.0,0,0,1,0,0,58.0,0,0
2024-25,PASS,v1_adxg,9,99,3,2,0,0,0,0,49.0,63.0,1,ok,0,62.0,0,0,1,0,0,63.0,0,0
2024-25,PASS,v1_adxg,10,422,3,2,0,0,0,0,57.0,59.0,1,ok,0,62.0,0,1,1,0,0,59.0,0,0
2024-25,PASS,v1_adxg,11,491,3,2,0,0,0,0,64.0,65.0,1,ok,0,65.0,0,0,1,0,0,65.0,0,0
2024-25,PASS,v1_adxg,12,355,1,0,0,0,0,0,45.0,43.0,1,ok,0,43.0,0,0,1,0,0,43.0,0,0
2024-25,PASS,v1_adxg,14,488,2,1,0,1,0,0,65.0,68.0,1,ok,0,69.0,0,1,1,0,0,68.0,0,0
2024-25,PASS,v1_adxg,15,17,2,1,0,0,0,0,64.0,60.0,1,ok,0,59.0,0,0,1,0,0,60.0,0,0
2024-25,PASS,v1_adxg,16,13,4,3,0,0,0,0,47.0,42.0,1,ok,0,40.0,0,0,1,0,0,42.0,0,0
2024-25,PASS,v1_adxg,17,17,3,2,0,0,0,0,38.0,38.0,1,ok,0,35.0,0,0,1,0,0,38.0,0,0
2024-25,PASS,v1_adxg,19,488,3,2,0,1,0,0,64.0,74.0,1,ok,0,65.0,0,0,1,0,0,74.0,0,0
2024-25,PASS,v1_adxg,20,99,4,3,1,0,1,1,75.0,82.0,1,ok,0,87.0,1,1,1,1,0,83.0,1,1
2024-25,PASS,v1_adxg,21,350,5,4,0,1,0,0,47.0,39.0,1,ok,1,46.0,0,1,1,0,0,39.0,0,0
2024-25,PASS,v1_adxg,22,185,3,2,0,0,0,0,38.0,38.0,1,ok,0,37.0,0,0,1,0,0,38.0,0,0
2024-25,PASS,v1_adxg,23,350,3,2,1,0,1,1,65.0,65.0,1,ok,0,69.0,1,1,1,1,0,67.0,1,1
2024-25,PASS,v1_adxg,25,207,1,0,0,0,0,0,108.0,113.0,1,ok,0,113.0,0,0,1,0,0,113.0,0,0
2024-25,PASS,v1_adxg,26,255,3,2,0,2,1,0,65.0,60.0,1,ok,1,66.0,0,1,1,0,1,60.0,0,0
2024-25,PASS,v1_adxg,27,350,3,2,0,1,0,0,58.0,72.0,1,ok,1,60.0,0,0,1,0,0,72.0,0,0
2024-25,PASS,v1_adxg,28,58,3,2,0,0,0,0,60.0,69.0,1,ok,0,67.0,0,0,1,0,0,69.0,0,0
2024-25,PASS,v1_adxg,29,70,3,2,0,2,1,0,56.0,56.0,1,ok,2,53.0,0,0,1,0,1,56.0,0,0
2024-25,PASS,v1_adxg,30,182,4,3,0,1,1,0,48.0,58.0,1,ok,1,46.0,0,0,1,0,1,58.0,0,0
2024-25,PASS,v1_adxg,31,350,2,1,0,0,0,0,41.0,50.0,1,ok,0,45.0,0,0,1,0,0,50.0,0,0
2024-25,PASS,v1_adxg,32,335,2,1,0,0,0,0,98.0,82.0,1,ok,0,83.0,0,1,1,0,0,82.0,0,0
2024-25,PASS,v1_adxg,33,9,4,3,0,0,0,0,94.0,93.0,1,ok,0,87.0,0,0,1,0,0,93.0,0,0
2024-25,PASS,v1_adxg,34,335,4,3,0,0,0,0,58.0,63.0,1,ok,0,59.0,0,0,1,0,0,63.0,0,0
2024-25,PASS,v1_adxg,35,311,1,0,0,0,0,0,54.0,49.0,1,ok,0,49.0,0,0,1,0,0,49.0,0,0
2024-25,PASS,v1_adxg,36,350,5,4,0,1,0,0,33.0,45.0,1,ok,1,38.0,0,0,1,0,0,45.0,0,0
2024-25,PASS,v1_adxg,37,311,2,1,0,1,1,0,49.0,35.0,1,ok,2,34.0,0,0,1,0,1,35.0,0,0
2024-25,PASS,v1_adxg,38,152,2,1,0,0,0,0,45.0,49.0,1,ok,0,48.0,0,0,1,0,0,49.0,0,0
2025-26,FAIL,v1_adxg,1,596,4,3,0,1,0,0,53.0,70.0,1,ok,1,53.0,0,0,1,0,0,70.0,0,0
2025-26,FAIL,v1_adxg,2,16,6,5,3,1,3,1,59.0,19.0,1,ok,1,52.0,1,1,1,3,1,45.0,1,1
2025-26,FAIL,v1_adxg,3,674,2,1,0,4,3,0,28.0,37.0,1,ok,4,28.0,0,0,1,0,3,37.0,0,0
2025-26,FAIL,v1_adxg,4,674,1,0,0,3,3,0,39.0,39.0,1,ok,3,39.0,0,0,1,0,3,39.0,0,0
2025-26,FAIL,v1_adxg,5,235,4,3,0,1,1,0,56.0,54.0,1,ok,1,56.0,0,1,1,0,1,54.0,0,0
2025-26,FAIL,v1_adxg,6,499,1,0,0,1,1,0,50.0,55.0,0,primary_unpaired,,,,,1,0,1,55.0,0,0
2025-26,FAIL,v1_adxg,7,373,4,3,0,1,0,0,62.0,80.0,1,ok,1,62.0,0,0,1,0,0,80.0,0,0
2025-26,FAIL,v1_adxg,8,8,3,2,0,1,0,0,72.0,77.0,1,ok,0,78.0,0,1,1,0,0,77.0,0,0
2025-26,FAIL,v1_adxg,9,373,2,1,0,1,1,0,51.0,41.0,1,ok,1,53.0,0,1,1,0,1,41.0,0,0
2025-26,FAIL,v1_adxg,11,257,2,1,0,0,0,0,38.0,40.0,1,ok,0,40.0,0,0,1,0,0,40.0,0,0
2025-26,FAIL,v1_adxg,12,367,1,0,0,1,2,1,31.0,29.0,1,ok,2,29.0,0,0,1,0,2,29.0,0,0
2025-26,FAIL,v1_adxg,13,16,3,2,0,1,0,0,47.0,49.0,1,ok,0,52.0,0,1,1,0,0,49.0,0,0
2025-26,FAIL,v1_adxg,14,283,3,2,0,0,0,0,51.0,52.0,1,ok,0,52.0,0,0,1,0,0,52.0,0,0
2025-26,FAIL,v1_adxg,15,260,4,3,0,1,1,0,57.0,56.0,1,ok,1,64.0,0,1,1,0,1,56.0,0,0
2025-26,FAIL,v1_adxg,16,22,2,1,0,0,0,0,81.0,75.0,1,ok,0,77.0,0,1,1,0,0,75.0,0,0
2025-26,FAIL,v1_adxg,17,260,5,4,0,0,0,0,78.0,79.0,1,ok,0,75.0,0,0,1,0,0,79.0,0,0
2025-26,FAIL,v1_adxg,18,82,2,1,0,3,3,0,29.0,33.0,1,ok,3,36.0,0,1,1,0,3,33.0,0,0
2025-26,FAIL,v1_adxg,19,257,2,1,0,1,1,0,59.0,48.0,1,ok,1,53.0,0,1,1,0,1,48.0,0,0
2025-26,FAIL,v1_adxg,20,260,5,4,0,0,0,0,35.0,43.0,1,ok,0,34.0,0,0,1,0,0,43.0,0,0
2025-26,FAIL,v1_adxg,22,21,4,3,0,0,0,0,47.0,46.0,1,ok,0,46.0,0,0,1,0,0,46.0,0,0
2025-26,FAIL,v1_adxg,23,82,2,1,0,0,0,0,23.0,33.0,1,ok,0,29.0,0,0,1,0,0,33.0,0,0
2025-26,FAIL,v1_adxg,24,5,3,2,0,0,0,0,78.0,80.0,1,ok,0,84.0,0,1,1,0,0,80.0,0,0
2025-26,FAIL,v1_adxg,25,8,2,1,0,0,0,0,59.0,64.0,1,ok,0,64.0,0,0,1,0,0,64.0,0,0
2025-26,FAIL,v1_adxg,26,8,4,3,0,0,0,0,81.0,94.0,1,ok,0,82.0,0,0,1,0,0,94.0,0,0
2025-26,FAIL,v1_adxg,27,32,3,2,0,1,0,0,34.0,39.0,1,ok,0,37.0,0,0,1,0,0,39.0,0,0
2025-26,FAIL,v1_adxg,28,82,2,1,0,1,1,0,56.0,65.0,1,ok,1,63.0,0,0,1,0,1,65.0,0,0
2025-26,FAIL,v1_adxg,29,16,2,1,0,0,0,0,89.0,78.0,0,primary_unpaired,,,,,1,0,0,78.0,0,0
2025-26,FAIL,v1_adxg,30,72,4,3,1,0,1,1,68.0,65.0,1,ok,0,74.0,1,1,1,1,0,71.0,1,1
2025-26,FAIL,v1_adxg,31,329,1,0,0,0,0,0,68.0,67.0,1,ok,0,67.0,0,0,1,0,0,67.0,0,0
2025-26,FAIL,v1_adxg,32,21,4,3,0,0,0,0,55.0,69.0,1,ok,0,55.0,0,0,1,0,0,69.0,0,0
2025-26,FAIL,v1_adxg,33,139,1,0,0,1,1,0,85.0,89.0,1,ok,1,89.0,0,0,1,0,1,89.0,0,0
2025-26,FAIL,v1_adxg,34,384,1,0,0,0,0,0,48.0,48.0,1,ok,0,48.0,0,0,1,0,0,48.0,0,0
2025-26,FAIL,v1_adxg,35,531,2,1,0,0,0,0,64.0,61.0,1,ok,0,60.0,0,0,1,0,0,61.0,0,0
2025-26,FAIL,v1_adxg,36,411,3,2,1,2,2,0,66.0,54.0,1,ok,2,63.0,0,1,1,1,2,54.0,0,0
2025-26,FAIL,v1_adxg,37,733,3,2,1,0,1,1,71.0,59.0,1,ok,0,71.0,1,1,1,1,0,68.0,1,1
2025-26,FAIL,v1_adxg,38,16,3,2,1,3,5,1,28.0,25.0,1,ok,4,26.0,1,1,1,1,4,26.0,1,1
