season,gw,movement,player_id,web_name,position,team,season_minutes,recent4_minutes,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_prior_strength,new_club,actual_minutes,blank,actual_points
2022-23,11,entered,461,Zouma,DEF,West Ham,810,270,0.72,2.1796,2.496,0.3164,1,0,0.0,1,0
2022-23,11,entered,478,Sá,GKP,Wolves,810,270,0.85,3.398,3.6904,0.2924,1,0,90.0,0,14
2022-23,12,left,258,Castagne,DEF,Leicester,741,336,0.72,2.6056,2.7396,0.134,1,1,90.0,0,6
2022-23,12,left,66,Solanke,FWD,Bournemouth,673,358,0.72,2.5312,2.6448,0.1136,0,1,90.0,0,2
2022-23,12,left,357,Trippier,DEF,Newcastle,885,345,0.72,2.7092,2.7008,-0.0084,1,1,90.0,0,9
2022-23,12,left,333,Fernandes,MID,Man Utd,809,270,0.72,2.544,2.296,-0.248,1,1,90.0,0,11
2022-23,12,left,81,Raya,GKP,Brentford,900,360,0.85,3.7216,2.8044,-0.9172,1,1,90.0,0,10
2022-23,12,left,342,Dalot,DEF,Man Utd,805,270,0.72,2.7348,2.0644,-0.6704,1,1,90.0,0,6
2022-23,12,left,377,Botman,DEF,Newcastle,631,270,0.72,2.5288,2.4632,-0.0656,1,1,90.0,0,7
2022-23,12,entered,288,Diogo Jota,FWD,Liverpool,195,185,0.72,2.4964,3.4916,0.9952,1,1,0.0,1,0
2022-23,12,entered,261,Maddison,MID,Leicester,804,354,0.72,2.4652,3.0464,0.5812,1,1,0.0,1,0
2022-23,12,entered,167,Guéhi,DEF,Crystal Palace,810,270,0.72,2.14,2.7664,0.6264,1,0,90.0,0,1
2022-23,12,entered,617,Aubameyang,FWD,Chelsea,131,131,0.72,2.4664,3.1412,0.6748,1,1,9.0,0,1
2022-23,12,entered,280,Van Dijk,DEF,Liverpool,810,270,0.72,2.5216,3.4216,0.9,1,1,90.0,0,7
2022-23,12,entered,156,Ward,DEF,Crystal Palace,720,270,0.72,2.286,2.804,0.518,1,0,90.0,0,1
2022-23,12,entered,152,Guaita,GKP,Crystal Palace,810,270,0.85,3.2476,3.8256,0.578,1,0,90.0,0,3
