season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_mc,delta_u,dpts,both60,tie_pts,mc_pref_enter,u_pref_enter,actual_pref_enter,ctrl_mu_gap,gap_bucket,v_ctrl,v_swap
2022-23,FAIL,8,DEF,16,Gabriel,526,Mee,0.0155,0.086,5.0,1,0,1,1,1,0.094,near,31.9636,31.9791
2022-23,FAIL,8,MID,468,Soucek,480,Neves,-0.0367,-0.1844,1.0,1,0,0,0,1,0.1268,near,31.9636,31.9269
2022-23,FAIL,8,GKP,182,Pickford,31,Martínez,0.0046,0.0384,-6.0,0,0,1,1,0,0.022,near,31.9636,31.9682
2022-23,FAIL,9,DEF,357,Trippier,209,Tosin,0.5616,0.7256,7.0,1,0,1,1,1,0.1356,near,31.3371,31.8987
2022-23,FAIL,9,DEF,357,Trippier,484,Kilman,0.5581,0.6964,6.0,1,0,1,1,1,0.114,near,31.3371,31.8952
2022-23,FAIL,9,DEF,39,Mings,209,Tosin,0.0109,0.0908,6.0,1,0,1,1,1,0.0728,near,31.3371,31.348
2022-23,FAIL,9,DEF,39,Mings,484,Kilman,0.0074,0.0616,5.0,1,0,1,1,1,0.0512,near,31.3371,31.3445
2022-23,FAIL,9,FWD,262,Iheanacho,356,Wilson,0.0051,0.0428,-6.0,0,0,1,1,0,0.7408,mid,31.3371,31.3422
2022-23,FAIL,11,FWD,40,Watkins,617,Aubameyang,0.1042,0.1184,1.0,0,0,1,1,1,0.1168,near,30.254,30.3582
2022-23,FAIL,11,DEF,538,Young,209,Tosin,0.0173,0.144,1.0,0,0,1,1,1,0.0216,near,30.254,30.2713
2022-23,FAIL,12,MID,261,Maddison,333,Fernandes,0.6418,0.7684,-11.0,0,0,1,1,0,0.0788,near,31.5897,32.2316
2022-23,FAIL,12,MID,264,Barnes,680,Gakpo,0.4308,0.4896,8.0,0,0,1,1,1,0.4424,mid,31.5897,32.0206
2022-23,FAIL,12,MID,264,Barnes,333,Fernandes,0.5964,0.7168,-3.0,1,0,1,1,0,0.2116,near,31.5897,32.1862
2022-23,FAIL,12,MID,465,Bowen,333,Fernandes,0.3247,0.408,-11.0,1,0,1,1,0,0.1256,near,31.5897,31.9144
2022-23,FAIL,12,DEF,366,Schär,377,Botman,0.051,0.1132,-2.0,1,0,1,1,0,0.04,near,31.5897,31.6407
2022-23,FAIL,12,DEF,84,Ajer,342,Dalot,0.006,0.0068,-6.0,0,0,1,1,0,0.4872,mid,31.5897,31.5957
2022-23,FAIL,12,DEF,84,Ajer,377,Botman,0.0137,0.0708,-7.0,0,0,1,1,0,0.2812,mid,31.5897,31.6034
2022-23,FAIL,13,FWD,288,Diogo Jota,617,Aubameyang,0.3946,0.4484,-2.0,0,0,1,1,0,0.3784,mid,30.853,31.2476
2022-23,FAIL,13,FWD,288,Diogo Jota,318,Haaland,-0.1478,-0.168,-13.0,0,0,0,0,0,0.9948,large,30.853,30.7052
2022-23,FAIL,13,FWD,166,Edouard,617,Aubameyang,-0.3189,-0.3624,0.0,1,1,0,0,0,0.8816,large,30.853,30.5341
2022-23,FAIL,13,FWD,166,Edouard,318,Haaland,-0.8613,-0.9788,-11.0,1,0,0,0,0,1.498,large,30.853,29.9917
2022-23,FAIL,13,DEF,141,Chalobah,475,Coady,0.3531,0.4012,-4.0,1,0,1,1,0,0.3168,mid,30.853,31.2061
2022-23,FAIL,14,FWD,166,Edouard,66,Solanke,0.0197,0.164,4.0,1,0,1,1,1,0.4652,mid,31.89,31.9097
2022-23,FAIL,14,FWD,166,Edouard,427,Kane,-0.2794,-0.3976,5.0,1,0,0,0,1,0.8676,large,31.89,31.6106
2022-23,FAIL,14,DEF,257,Amartey,576,Senesi,-0.0307,-0.066,1.0,1,0,0,0,1,0.0996,near,31.89,31.8593
2022-23,FAIL,14,DEF,257,Amartey,342,Dalot,-0.0043,-0.036,-7.0,1,0,0,0,0,0.0644,near,31.89,31.8857
2022-23,FAIL,14,DEF,39,Mings,576,Senesi,-0.078,-0.4596,-1.0,1,0,0,0,0,0.5924,mid,31.89,31.812
2022-23,FAIL,14,DEF,39,Mings,342,Dalot,-0.0516,-0.4296,-9.0,1,0,0,0,0,0.5572,mid,31.89,31.8384
2022-23,FAIL,14,MID,261,Maddison,680,Gakpo,0.3495,0.3972,2.0,0,0,1,1,1,0.4408,mid,31.89,32.2395
2022-23,FAIL,14,MID,261,Maddison,169,Eze,0.3823,0.4344,-1.0,1,0,1,1,0,0.2368,near,31.89,32.2723
2022-23,FAIL,14,MID,374,Bruno Guimarães,680,Gakpo,0.321,0.3648,3.0,0,0,1,1,1,0.534,mid,31.89,32.211
2022-23,FAIL,14,MID,374,Bruno Guimarães,169,Eze,0.3538,0.402,0.0,1,1,1,1,0,0.33,mid,31.89,32.2438
2022-23,FAIL,14,MID,374,Bruno Guimarães,369,Almirón,0.5068,0.7928,-9.0,1,0,1,1,0,0.2916,mid,31.89,32.3968
2022-23,FAIL,14,GKP,518,Hennessey,2,Leno,-0.0888,-0.7404,-10.0,0,0,0,0,0,0.7404,mid,31.89,31.8012
2022-23,FAIL,15,FWD,288,Diogo Jota,427,Kane,0.4041,0.4592,-8.0,0,0,1,1,0,0.3324,mid,30.6064,31.0105
2022-23,FAIL,15,FWD,166,Edouard,66,Solanke,-0.0034,-0.0284,-6.0,0,0,0,0,0,0.512,mid,30.6064,30.603
2022-23,FAIL,15,FWD,166,Edouard,427,Kane,-0.5318,-0.6288,-8.0,0,0,0,0,0,0.9524,large,30.6064,30.0747
2022-23,FAIL,15,DEF,39,Mings,516,Collins,-0.1035,-0.1176,1.0,1,0,0,0,1,0.2512,mid,30.6064,30.5029
2022-23,FAIL,15,DEF,39,Mings,461,Zouma,0.0021,0.0024,0.0,1,1,1,1,0,0.1772,near,30.6064,30.6085
2022-23,FAIL,15,DEF,39,Mings,475,Coady,0.0239,0.0272,0.0,1,1,1,1,0,0.1064,near,30.6064,30.6304
2022-23,FAIL,15,DEF,141,Chalobah,475,Coady,0.3393,0.3856,0.0,1,1,1,1,0,0.1452,near,30.6064,30.9458
2022-23,FAIL,15,DEF,538,Young,516,Collins,0.013,0.0148,1.0,0,0,1,1,1,0.2032,near,30.6064,30.6195
2022-23,FAIL,15,DEF,538,Young,461,Zouma,0.1186,0.1348,0.0,0,1,1,1,0,0.1292,near,30.6064,30.7251
2022-23,FAIL,15,DEF,538,Young,475,Coady,0.1404,0.1596,0.0,0,1,1,1,0,0.0584,near,30.6064,30.7469
2022-23,FAIL,16,MID,464,Benrahma,680,Gakpo,0.1538,0.1748,2.0,0,0,1,1,1,0.6432,mid,31.6019,31.7558
2022-23,FAIL,16,MID,464,Benrahma,614,Willian,0.1982,0.2252,0.0,1,1,1,1,0,0.5928,mid,31.6019,31.8001
2022-23,FAIL,16,MID,374,Bruno Guimarães,680,Gakpo,0.138,0.1568,3.0,0,0,1,1,1,0.5888,mid,31.6019,31.7399
2022-23,FAIL,16,MID,374,Bruno Guimarães,614,Willian,0.1823,0.2072,1.0,1,0,1,1,1,0.5384,mid,31.6019,31.7843
2022-23,FAIL,17,DEF,16,Gabriel,342,Dalot,0.1045,0.1188,2.0,0,0,1,1,1,0.1768,near,29.6151,29.7197
2022-23,FAIL,17,DEF,141,Chalobah,257,Amartey,0.1,0.1136,0.0,0,1,1,1,0,0.4612,mid,29.6151,29.7151
2022-23,FAIL,17,DEF,141,Chalobah,342,Dalot,0.0722,0.082,1.0,0,0,1,1,1,0.5572,mid,29.6151,29.6873
2022-23,FAIL,17,MID,42,Buendía,614,Willian,0.2961,0.3496,-4.0,1,0,1,1,0,0.1444,near,29.6151,29.9112
2022-23,FAIL,17,MID,42,Buendía,519,Eriksen,0.2943,0.3344,-3.0,1,0,1,1,0,0.1596,near,29.6151,29.9094
2022-23,FAIL,17,MID,171,Olise,614,Willian,0.514,0.5972,-4.0,1,0,1,1,0,0.214,near,29.6151,30.1291
2022-23,FAIL,17,MID,171,Olise,519,Eriksen,0.5122,0.582,-3.0,1,0,1,1,0,0.2292,near,29.6151,30.1273
2022-23,FAIL,18,FWD,288,Diogo Jota,427,Kane,-0.207,-0.2352,-2.0,0,0,0,0,0,0.1196,near,30.3998,30.1928
2022-23,FAIL,18,MID,300,Gündogan,680,Gakpo,0.3284,0.3732,1.0,0,0,1,1,1,0.1984,near,30.3998,30.7282
2022-23,FAIL,18,MID,464,Benrahma,680,Gakpo,0.2323,0.264,2.0,0,0,1,1,1,0.5448,mid,30.3998,30.6321
2022-23,FAIL,18,MID,464,Benrahma,369,Almirón,0.5021,0.602,-1.0,1,0,1,1,0,0.3156,mid,30.3998,30.9019
2022-23,FAIL,19,GKP,518,Hennessey,81,Raya,-0.077,-0.642,-3.0,0,0,0,0,0,0.638,mid,41.3772,41.3002
2022-23,FAIL,20,DEF,595,Zanka,302,Stones,-2.0152,-2.29,0.0,0,1,0,0,0,2.6752,large,55.7619,53.7467
2022-23,FAIL,20,DEF,595,Zanka,628,Aurier,0.0081,0.0676,-7.0,0,0,1,1,0,0.4168,mid,55.7619,55.77
2022-23,FAIL,20,DEF,595,Zanka,92,Pinnock,0.0162,0.1352,-5.0,0,0,1,1,0,0.3104,mid,55.7619,55.7781
2022-23,FAIL,20,FWD,619,Gnonto,11,Nketiah,-0.1309,-1.0908,0.0,1,1,0,0,0,0.3888,mid,55.7619,55.631
2022-23,FAIL,21,DEF,16,Gabriel,302,Stones,-0.2112,-0.24,-7.0,1,0,0,0,0,0.2728,mid,32.8252,32.614
2022-23,FAIL,21,DEF,222,Ayling,302,Stones,-0.1193,-0.1356,0.0,1,1,0,0,0,0.506,mid,32.8252,32.7058
2022-23,FAIL,21,MID,171,Olise,680,Gakpo,0.0155,0.0176,-3.0,0,0,1,1,0,0.4344,mid,32.8252,32.8406
2022-23,FAIL,21,MID,171,Olise,335,Rashford,0.0461,0.0524,-7.0,0,0,1,1,0,0.3332,mid,32.8252,32.8713
