season,e024_gate,candidate,gw,class,gap_bucket,n_enter,n_exit,n_pos_touched,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_ctrl_mu,enter_cand_mu,enter_ctrl_p60,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_ctrl_mu,exit_mins,exit_pts,abs_d_ctrl,blank_enter,primary_harm,paired
2022-23,FAIL,v1_adxg,16,BUDGET_FLEX,near,4,4,3,1,1,0,427,Kane,FWD,2.6428,2.6876,0.6759,90.0,11.0,279,Firmino,FWD,2.7156,74.0,6.0,0.0728,0,0,1
2022-23,FAIL,v1_adxg,17,BUDGET_FLEX,near,5,5,3,1,3,1,16,Gabriel,DEF,2.538,2.6292,0.6745,90.0,2.0,257,Amartey,DEF,2.6188,90.0,1.0,0.0808,0,0,1
2022-23,FAIL,v1_adxg,17,BUDGET_FLEX,near,5,5,3,1,3,1,284,Robertson,DEF,2.4236,2.632,0.6759,90.0,8.0,258,Castagne,DEF,2.6388,90.0,1.0,0.2152,0,0,1
2022-23,FAIL,v1_adxg,17,BUDGET_FLEX,near,5,5,3,1,3,1,519,Eriksen,MID,2.5432,2.6324,0.6759,76.0,5.0,614,Willian,MID,2.528,81.0,6.0,0.0152,0,0,1
2022-23,FAIL,v1_adxg,17,BUDGET_FLEX,near,5,5,3,1,3,1,680,Gakpo,MID,2.4988,2.6768,0.6759,0.0,0.0,169,Eze,MID,2.514,59.0,1.0,0.0152,1,1,1
2022-23,FAIL,v1_adxg,17,BUDGET_FLEX,mid,5,5,3,1,3,1,690,João Félix,FWD,2.2952,2.4316,0.6759,0.0,0.0,427,Kane,FWD,2.558,90.0,7.0,0.2628,1,1,1
2022-23,FAIL,v1_adxg,18,BUDGET_FLEX,near,2,2,2,0,0,0,470,Diop,DEF,2.5364,2.552,0.6745,90.0,2.0,516,Collins,DEF,2.5416,90.0,2.0,0.0052,0,0,1
2022-23,FAIL,v1_adxg,18,BUDGET_FLEX,,2,2,2,0,0,0,610,Akanji,DEF,2.436,2.8028,0.6745,90.0,2.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,19,BUDGET_FLEX,,1,1,2,0,0,0,283,Salah,MID,2.8948,3.0824,0.6759,90.0,2.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,20,BUDGET_FLEX,near,2,2,2,0,0,0,308,Aké,DEF,4.8164,5.2592,0.6745,180.0,2.0,504,Malacia,DEF,4.6608,90.0,2.0,0.1556,0,0,1
2022-23,FAIL,v1_adxg,20,BUDGET_FLEX,mid,2,2,2,0,0,0,593,Casemiro,MID,4.7116,4.6696,0.6745,180.0,7.0,300,Gündogan,MID,5.098,80.0,2.0,0.3864,0,0,1
2022-23,FAIL,v1_adxg,21,BUDGET_FLEX,,3,3,3,0,0,0,11,Nketiah,FWD,2.6052,2.6752,0.6759,90.0,13.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,21,BUDGET_FLEX,mid,3,3,3,0,0,0,305,Grealish,MID,2.7436,3.1212,0.6759,90.0,3.0,301,De Bruyne,MID,3.1072,76.0,6.0,0.3636,0,0,1
2022-23,FAIL,v1_adxg,21,BUDGET_FLEX,near,3,3,3,0,0,0,357,Trippier,DEF,2.62,2.7016,0.6736,90.0,8.0,628,Aurier,DEF,2.5804,74.0,2.0,0.0396,0,0,1
2022-23,FAIL,v1_adxg,22,NEAR_TIE,near,1,1,1,0,0,0,301,De Bruyne,MID,2.9008,3.0496,0.6736,31.0,1.0,7,Ødegaard,MID,2.9012,76.0,2.0,0.0004,0,0,1
2022-23,FAIL,v1_adxg,23,BUDGET_FLEX,near,3,3,3,0,0,0,16,Gabriel,DEF,5.0456,5.018,0.6736,180.0,3.0,10,White,DEF,5.0152,97.0,3.0,0.0304,0,0,1
2022-23,FAIL,v1_adxg,23,BUDGET_FLEX,near,3,3,3,0,0,0,281,Alisson,GKP,3.554,3.9176,0.7915,90.0,6.0,2,Leno,GKP,3.7676,90.0,6.0,0.2136,0,0,1
2022-23,FAIL,v1_adxg,23,BUDGET_FLEX,,3,3,3,0,0,0,357,Trippier,DEF,2.8092,2.9692,0.6736,90.0,2.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,24,BUDGET_FLEX,near,2,2,2,1,2,1,128,Thiago Silva,DEF,2.6776,2.8424,0.6736,0.0,0.0,628,Aurier,DEF,2.744,78.0,2.0,0.0664,1,1,1
2022-23,FAIL,v1_adxg,24,BUDGET_FLEX,near,2,2,2,1,2,1,133,Arrizabalaga,GKP,3.9436,4.0796,0.7915,90.0,2.0,81,Raya,GKP,3.952,90.0,3.0,0.0084,0,0,1
2022-23,FAIL,v1_adxg,25,BUDGET_FLEX,large,2,2,2,0,0,0,285,Alexander-Arnold,DEF,5.29,5.9628,0.6736,159.0,13.0,484,Kilman,DEF,4.2136,180.0,3.0,1.0764,0,0,1
2022-23,FAIL,v1_adxg,25,BUDGET_FLEX,large,2,2,2,0,0,0,480,Neves,MID,4.2056,4.0932,0.6736,180.0,3.0,283,Salah,MID,5.6912,180.0,11.0,1.4856,0,0,1
2022-23,FAIL,v1_adxg,26,BUDGET_FLEX,near,2,2,2,0,0,0,284,Robertson,DEF,2.9352,3.0156,0.6736,90.0,9.0,357,Trippier,DEF,3.0396,90.0,1.0,0.1044,0,0,1
2022-23,FAIL,v1_adxg,26,BUDGET_FLEX,near,2,2,2,0,0,0,300,Gündogan,MID,2.9428,3.1048,0.6736,90.0,3.0,680,Gakpo,MID,3.16,78.0,14.0,0.2172,0,0,1
