season,e024_gate,candidate,gw,xi0_worse_gw,xi0_ctrl,xi0_cand,xi0_hold,cap_ctrl,cap_cand,cap_hold,oc_xi0_hold,oc_cap_hold,oc_xi0_ctrl,oc_cap_ctrl,pair_feasible,pair_reason,xi0_pair,cap_pair,oc_xi0_pair,oc_cap_pair
2022-23,FAIL,v1_adxg,19,0,0,0,0,72.0,72.0,72.0,0,0.0,0,0.0,0,primary_unpaired,,,,
2022-23,FAIL,v1_adxg,20,0,0,0,0,69.0,74.0,74.0,0,0.0,0,-5.0,1,ok,0,69.0,0,-5.0
2022-23,FAIL,v1_adxg,21,0,0,0,0,58.0,77.0,77.0,0,0.0,0,-19.0,1,ok,0,69.0,0,-8.0
2022-23,FAIL,v1_adxg,22,0,0,0,0,75.0,74.0,74.0,0,0.0,0,1.0,1,ok,0,74.0,0,0.0
2022-23,FAIL,v1_adxg,23,0,0,0,0,93.0,87.0,87.0,0,0.0,0,6.0,1,ok,0,93.0,0,6.0
2022-23,FAIL,v1_adxg,24,1,1,2,2,49.0,45.0,45.0,0,0.0,1,4.0,1,ok,2,47.0,0,2.0
2022-23,FAIL,v1_adxg,25,0,0,0,0,81.0,83.0,83.0,0,0.0,0,-2.0,1,ok,0,91.0,0,8.0
2022-23,FAIL,v1_adxg,26,0,0,0,0,61.0,58.0,58.0,0,0.0,0,3.0,1,ok,0,69.0,0,11.0
2022-23,FAIL,v1_adxg,28,0,0,0,0,54.0,57.0,57.0,0,0.0,0,-3.0,1,ok,0,57.0,0,0.0
2022-23,FAIL,v1_adxg,29,0,1,1,1,80.0,78.0,78.0,0,0.0,0,2.0,1,ok,1,78.0,0,0.0
2022-23,FAIL,v1_adxg,30,0,0,0,0,51.0,56.0,56.0,0,0.0,0,-5.0,1,ok,0,58.0,0,2.0
2022-23,FAIL,v1_adxg,31,0,1,0,0,61.0,76.0,76.0,0,0.0,-1,-15.0,1,ok,0,70.0,0,-6.0
2022-23,FAIL,v1_adxg,32,0,0,0,0,72.0,67.0,67.0,0,0.0,0,5.0,1,ok,0,76.0,0,9.0
2022-23,FAIL,v1_adxg,33,0,0,0,0,77.0,73.0,73.0,0,0.0,0,4.0,1,ok,0,76.0,0,3.0
2022-23,FAIL,v1_adxg,34,1,0,1,0,114.0,91.0,109.0,1,18.0,1,23.0,1,ok,0,109.0,1,18.0
2022-23,FAIL,v1_adxg,35,1,0,1,0,64.0,61.0,63.0,1,2.0,1,3.0,1,ok,0,61.0,1,0.0
2022-23,FAIL,v1_adxg,36,0,1,1,1,101.0,90.0,90.0,0,0.0,0,11.0,1,ok,2,84.0,-1,-6.0
2022-23,FAIL,v1_adxg,38,0,1,1,1,38.0,33.0,33.0,0,0.0,0,5.0,1,ok,1,33.0,0,0.0
2023-24,PASS,v1_adxg,1,1,0,1,0,60.0,50.0,57.0,1,7.0,1,10.0,1,ok,0,59.0,1,9.0
2023-24,PASS,v1_adxg,2,0,2,1,1,30.0,36.0,36.0,0,0.0,-1,-6.0,1,ok,2,30.0,-1,-6.0
2023-24,PASS,v1_adxg,3,1,1,2,1,51.0,65.0,67.0,1,2.0,1,-14.0,1,ok,1,50.0,1,-15.0
2023-24,PASS,v1_adxg,4,0,2,2,2,35.0,38.0,38.0,0,0.0,0,-3.0,1,ok,2,38.0,0,0.0
2023-24,PASS,v1_adxg,5,0,1,1,1,38.0,45.0,45.0,0,0.0,0,-7.0,1,ok,1,36.0,0,-9.0
2023-24,PASS,v1_adxg,6,0,0,0,0,59.0,70.0,70.0,0,0.0,0,-11.0,1,ok,0,69.0,0,-1.0
2023-24,PASS,v1_adxg,7,0,0,0,0,66.0,51.0,51.0,0,0.0,0,15.0,1,ok,0,51.0,0,0.0
2023-24,PASS,v1_adxg,8,0,0,0,0,59.0,59.0,59.0,0,0.0,0,0.0,1,ok,0,60.0,0,1.0
2023-24,PASS,v1_adxg,9,0,0,0,0,98.0,94.0,94.0,0,0.0,0,4.0,1,ok,0,103.0,0,9.0
2023-24,PASS,v1_adxg,10,1,1,2,1,65.0,66.0,76.0,1,10.0,1,-1.0,1,ok,1,70.0,1,4.0
2023-24,PASS,v1_adxg,11,0,0,0,0,21.0,21.0,21.0,0,0.0,0,0.0,1,ok,0,20.0,0,-1.0
2023-24,PASS,v1_adxg,13,0,0,0,0,40.0,40.0,40.0,0,0.0,0,0.0,1,ok,0,45.0,0,5.0
2023-24,PASS,v1_adxg,14,0,0,0,0,57.0,49.0,49.0,0,0.0,0,8.0,1,ok,0,60.0,0,11.0
2023-24,PASS,v1_adxg,15,0,0,0,0,39.0,34.0,34.0,0,0.0,0,5.0,1,ok,0,41.0,0,7.0
2023-24,PASS,v1_adxg,16,0,1,1,1,55.0,59.0,59.0,0,0.0,0,-4.0,1,ok,1,60.0,0,1.0
2023-24,PASS,v1_adxg,17,0,1,1,1,59.0,57.0,57.0,0,0.0,0,2.0,1,ok,1,60.0,0,3.0
2023-24,PASS,v1_adxg,19,0,0,0,0,28.0,33.0,33.0,0,0.0,0,-5.0,1,ok,0,36.0,0,3.0
2023-24,PASS,v1_adxg,20,0,0,0,0,84.0,93.0,93.0,0,0.0,0,-9.0,1,ok,0,90.0,0,-3.0
2023-24,PASS,v1_adxg,21,0,0,0,0,43.0,43.0,43.0,0,0.0,0,0.0,1,ok,0,43.0,0,0.0
2023-24,PASS,v1_adxg,22,0,0,0,0,69.0,78.0,78.0,0,0.0,0,-9.0,1,ok,0,85.0,0,7.0
2023-24,PASS,v1_adxg,23,0,0,0,0,54.0,70.0,70.0,0,0.0,0,-16.0,1,ok,0,71.0,0,1.0
2023-24,PASS,v1_adxg,24,0,0,0,0,66.0,80.0,80.0,0,0.0,0,-14.0,1,ok,0,68.0,0,-12.0
2023-24,PASS,v1_adxg,26,0,0,0,0,81.0,69.0,69.0,0,0.0,0,12.0,1,ok,0,65.0,0,-4.0
2023-24,PASS,v1_adxg,27,0,1,0,0,74.0,82.0,82.0,0,0.0,-1,-8.0,1,ok,1,75.0,-1,-7.0
2023-24,PASS,v1_adxg,28,0,0,0,0,48.0,49.0,49.0,0,0.0,0,-1.0,1,ok,0,49.0,0,0.0
2023-24,PASS,v1_adxg,29,0,0,0,0,31.0,20.0,20.0,0,0.0,0,11.0,1,ok,0,30.0,0,10.0
2023-24,PASS,v1_adxg,30,1,0,1,1,49.0,43.0,43.0,0,0.0,1,6.0,1,ok,1,42.0,0,-1.0
2023-24,PASS,v1_adxg,31,0,2,2,2,57.0,48.0,48.0,0,0.0,0,9.0,1,ok,2,61.0,0,13.0
