season,e024_gate,gw,delta_cap,sum_delta_v,sum_delta_u,n_swap_pairs,n_sign_disagree,portfolio_bad
2024-25,PASS,19,9.0,-0.3024,-0.9412,1,0,0
2024-25,PASS,20,-2.0,0.2496,-0.2504,1,1,1
2024-25,PASS,21,0.0,-0.2964,-0.2964,1,0,0
2024-25,PASS,22,-13.0,-1.6548,-0.944,3,0,1
2024-25,PASS,23,-1.0,-0.3228,-0.3228,1,0,1
2024-25,PASS,24,-3.0,-3.1284,-9.2988,5,0,1
2024-25,PASS,25,0.0,0.0,-0.0156,1,0,0
2024-25,PASS,26,17.0,-0.7672,-0.7672,1,0,0
2024-25,PASS,28,-6.0,-3.7472,-5.16,2,0,1
2024-25,PASS,29,2.0,-0.0324,-1.0976,2,0,0
2024-25,PASS,30,1.0,-2.2816,-3.6048,5,1,0
2024-25,PASS,34,2.0,0.6252,-0.3748,1,1,0
2025-26,FAIL,1,-3.0,-7.9776,-5.4724,10,1,1
2025-26,FAIL,2,2.0,1.382,-3.4188,5,3,0
2025-26,FAIL,3,-3.0,-1.4452,-0.9452,1,0,1
2025-26,FAIL,4,6.0,0.0,-1.7268,3,0,0
2025-26,FAIL,5,-5.0,-0.6068,-1.7024,3,1,1
2025-26,FAIL,6,-6.0,-0.2548,-1.3468,5,0,1
2025-26,FAIL,7,-4.0,-1.7196,-2.6292,5,0,1
2025-26,FAIL,8,5.0,-1.144,-1.9996,3,0,0
2025-26,FAIL,9,3.0,0.1096,-3.8592,3,1,0
2025-26,FAIL,10,-8.0,-1.6084,-0.9536,3,0,1
2025-26,FAIL,11,24.0,-1.908,-1.756,4,0,0
2025-26,FAIL,12,1.0,-1.8936,-0.9436,3,0,0
2025-26,FAIL,13,-12.0,-1.094,-0.6972,1,0,1
2025-26,FAIL,14,0.0,0.9708,-0.7672,2,2,0
2025-26,FAIL,15,4.0,1.3916,-2.3064,7,3,0
2025-26,FAIL,16,-2.0,-0.7836,-1.4512,4,1,1
2025-26,FAIL,17,5.0,1.4476,-3.1952,4,2,0
2025-26,FAIL,18,-7.0,1.7628,-0.562,3,2,1
2025-26,FAIL,19,-6.0,-0.2028,-0.2824,2,0,1
2025-26,FAIL,20,10.0,0.5396,-1.1004,5,2,0
2025-26,FAIL,21,-15.0,0.4568,-0.1928,1,1,1
2025-26,FAIL,22,-1.0,-0.1144,-1.304,2,0,1
2025-26,FAIL,25,-3.0,-0.0672,-0.0672,1,0,1
2025-26,FAIL,26,1.0,-0.076,-0.076,1,0,0
2025-26,FAIL,28,-1.0,0.0,-0.4116,2,0,1
2025-26,FAIL,30,0.0,0.392,-2.8668,4,1,0
2025-26,FAIL,31,1.0,-0.03,-0.0696,1,0,0
2025-26,FAIL,32,-2.0,1.654,-4.4812,6,2,1
