season,gw,movement,player_id,web_name,position,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_club_prior,actual_minutes,blank,actual_points
2022-23,20,entered,300,Gündogan,MID,0.72,5.098,5.9276,0.8296,1,80.0,0,2
2022-23,21,left,680,Gakpo,MID,0.72,2.91,2.91,0.0,0,81.0,0,3
2022-23,21,left,302,Stones,DEF,0.72,2.798,2.8192,0.0212,1,90.0,0,8
2022-23,21,left,335,Rashford,MID,0.72,2.8088,2.8752,0.0664,1,90.0,0,7
2022-23,21,left,628,Aurier,DEF,0.72,2.5804,2.5804,0.0,0,74.0,0,2
2022-23,21,left,283,Salah,MID,0.72,2.9944,3.1716,0.1772,1,90.0,0,3
2022-23,21,entered,288,Diogo Jota,FWD,0.72,2.51,3.5336,1.0236,1,0.0,1,0
2022-23,21,entered,357,Trippier,DEF,0.72,2.62,2.702,0.082,1,90.0,0,8
2022-23,21,entered,301,De Bruyne,MID,0.72,3.1072,3.348,0.2408,1,76.0,0,6
2022-23,21,entered,278,Chamberlain,MID,0.72,2.25,3.0504,0.8004,1,0.0,1,0
2022-23,21,entered,222,Ayling,DEF,0.72,2.292,2.6836,0.3916,1,90.0,0,8
2022-23,22,left,318,Haaland,FWD,0.72,3.1712,3.1712,0.0,0,90.0,0,2
2022-23,22,left,7,Ødegaard,MID,0.72,2.9012,2.9492,0.048,1,76.0,0,2
2022-23,22,entered,288,Diogo Jota,FWD,0.72,2.3848,3.2468,0.862,1,0.0,1,0
2022-23,22,entered,135,Ziyech,MID,0.72,2.29,3.166,0.876,1,59.0,0,1
2022-23,23,left,2,Leno,GKP,0.85,3.7676,3.7676,0.0,0,90.0,0,6
2022-23,23,left,335,Rashford,MID,0.72,2.9084,2.9084,0.0,1,90.0,0,8
2022-23,23,left,16,Gabriel,DEF,0.72,5.0456,5.0456,0.0,1,180.0,0,3
2022-23,23,left,124,Mitoma,MID,0.72,2.76,2.76,0.0,0,90.0,0,2
2022-23,23,left,285,Alexander-Arnold,DEF,0.72,2.8992,3.0164,0.1172,1,90.0,0,6
2022-23,23,entered,288,Diogo Jota,FWD,0.72,2.5116,3.6732,1.1616,1,20.0,0,1
