season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_mu_enter,ctrl_mu_left,d_ctrl,abs_ctrl_gap,gap_bucket,du,dpts,enter_mu_delta,both60,same_pos,model_pref_enter,actual_pref_enter,tie_pts,ctrl_pref_enter,ctrl_pref_left,rank_err
2022-23,FAIL,4,446,Kulusevski,MID,81,Raya,GKP,2.4184,3.3496,-0.9312,0.9312,large,0.266,0.0,1.1856,1,0,1,0,1,0,1,0
2022-23,FAIL,4,446,Kulusevski,MID,300,Gündogan,MID,2.4184,2.62,-0.2016,0.2016,near,0.112,2.0,1.1856,0,1,1,1,0,0,1,0
2022-23,FAIL,4,446,Kulusevski,MID,301,De Bruyne,MID,2.4184,3.5448,-1.1264,1.1264,large,-0.7648,4.0,1.1856,1,1,0,1,0,0,1,0
2022-23,FAIL,4,446,Kulusevski,MID,110,Maupay,FWD,2.4184,2.9136,-0.4952,0.4952,mid,0.6904,6.0,1.1856,0,0,1,1,0,0,1,0
2022-23,FAIL,4,518,Hennessey,GKP,81,Raya,GKP,3.3136,3.3496,-0.036,0.036,near,-0.0244,-6.0,0.0,0,1,0,0,0,0,1,0
2022-23,FAIL,4,518,Hennessey,GKP,300,Gündogan,MID,3.3136,2.62,0.6936,0.6936,mid,-0.1784,-4.0,0.0,0,0,0,0,0,1,0,0
2022-23,FAIL,4,518,Hennessey,GKP,301,De Bruyne,MID,3.3136,3.5448,-0.2312,0.2312,near,-1.0552,-2.0,0.0,0,0,0,0,0,0,1,0
2022-23,FAIL,4,518,Hennessey,GKP,110,Maupay,FWD,3.3136,2.9136,0.4,0.4,mid,0.4,0.0,0.0,0,0,1,0,1,1,0,0
2022-23,FAIL,5,261,Maddison,MID,288,Diogo Jota,FWD,2.5856,3.03,-0.4444,0.4444,mid,0.998,1.0,1.4424,0,0,1,1,0,0,1,0
2022-23,FAIL,5,261,Maddison,MID,257,Amartey,DEF,2.5856,2.3476,0.238,0.238,near,1.9,1.0,1.4424,0,0,1,1,0,1,0,0
2022-23,FAIL,5,261,Maddison,MID,258,Castagne,DEF,2.5856,2.3148,0.2708,0.2708,mid,1.7868,1.0,1.4424,0,0,1,1,0,1,0,0
2022-23,FAIL,5,261,Maddison,MID,301,De Bruyne,MID,2.5856,3.414,-0.8284,0.8284,large,-0.148,0.0,1.4424,0,1,0,0,1,0,1,0
2022-23,FAIL,5,261,Maddison,MID,210,Mitrović,FWD,2.5856,2.5264,0.0592,0.0592,near,1.5016,-8.0,1.4424,1,0,1,0,0,1,0,1
2022-23,FAIL,5,261,Maddison,MID,116,Mac Allister,MID,2.5856,2.3984,0.1872,0.1872,near,1.2604,-9.0,1.4424,1,1,1,0,0,1,0,1
2022-23,FAIL,5,261,Maddison,MID,156,Ward,DEF,2.5856,2.308,0.2776,0.2776,mid,1.8608,-1.0,1.4424,1,0,1,0,0,1,0,1
2022-23,FAIL,5,261,Maddison,MID,318,Haaland,FWD,2.5856,3.56,-0.9744,0.9744,large,0.468,-16.0,1.4424,1,0,1,0,0,0,1,1
2022-23,FAIL,5,357,Trippier,DEF,288,Diogo Jota,FWD,2.0768,3.03,-0.9532,0.9532,large,0.124,0.0,1.0772,0,0,1,0,1,0,1,0
2022-23,FAIL,5,357,Trippier,DEF,257,Amartey,DEF,2.0768,2.3476,-0.2708,0.2708,mid,1.026,0.0,1.0772,0,1,1,0,1,0,1,0
2022-23,FAIL,5,357,Trippier,DEF,258,Castagne,DEF,2.0768,2.3148,-0.238,0.238,near,0.9128,0.0,1.0772,0,1,1,0,1,0,1,0
2022-23,FAIL,5,357,Trippier,DEF,301,De Bruyne,MID,2.0768,3.414,-1.3372,1.3372,large,-1.022,-1.0,1.0772,0,0,0,0,0,0,1,0
2022-23,FAIL,5,357,Trippier,DEF,210,Mitrović,FWD,2.0768,2.5264,-0.4496,0.4496,mid,0.6276,-9.0,1.0772,1,0,1,0,0,0,1,1
2022-23,FAIL,5,357,Trippier,DEF,116,Mac Allister,MID,2.0768,2.3984,-0.3216,0.3216,mid,0.3864,-10.0,1.0772,1,0,1,0,0,0,1,1
2022-23,FAIL,5,357,Trippier,DEF,156,Ward,DEF,2.0768,2.308,-0.2312,0.2312,near,0.9868,-2.0,1.0772,1,1,1,0,0,0,1,1
2022-23,FAIL,5,357,Trippier,DEF,318,Haaland,FWD,2.0768,3.56,-1.4832,1.4832,large,-0.406,-17.0,1.0772,1,0,0,0,0,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,288,Diogo Jota,FWD,2.2588,3.03,-0.7712,0.7712,large,-0.45,2.0,0.3212,0,0,0,1,0,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,257,Amartey,DEF,2.2588,2.3476,-0.0888,0.0888,near,0.452,2.0,0.3212,0,1,1,1,0,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,258,Castagne,DEF,2.2588,2.3148,-0.056,0.056,near,0.3388,2.0,0.3212,0,1,1,1,0,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,301,De Bruyne,MID,2.2588,3.414,-1.1552,1.1552,large,-1.596,1.0,0.3212,0,0,0,1,0,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,210,Mitrović,FWD,2.2588,2.5264,-0.2676,0.2676,mid,0.0536,-7.0,0.3212,1,0,1,0,0,0,1,1
2022-23,FAIL,5,457,Cresswell,DEF,116,Mac Allister,MID,2.2588,2.3984,-0.1396,0.1396,near,-0.1876,-8.0,0.3212,1,0,0,0,0,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,156,Ward,DEF,2.2588,2.308,-0.0492,0.0492,near,0.4128,0.0,0.3212,1,1,1,0,1,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,318,Haaland,FWD,2.2588,3.56,-1.3012,1.3012,large,-0.98,-15.0,0.3212,1,0,0,0,0,0,1,0
2022-23,FAIL,5,303,Mahrez,MID,288,Diogo Jota,FWD,2.6836,3.03,-0.3464,0.3464,mid,2.2408,4.0,2.5872,0,0,1,1,0,0,1,0
2022-23,FAIL,5,303,Mahrez,MID,257,Amartey,DEF,2.6836,2.3476,0.336,0.336,mid,3.1428,4.0,2.5872,0,0,1,1,0,1,0,0
2022-23,FAIL,5,303,Mahrez,MID,258,Castagne,DEF,2.6836,2.3148,0.3688,0.3688,mid,3.0296,4.0,2.5872,0,0,1,1,0,1,0,0
2022-23,FAIL,5,303,Mahrez,MID,301,De Bruyne,MID,2.6836,3.414,-0.7304,0.7304,mid,1.0948,3.0,2.5872,0,1,1,1,0,0,1,0
2022-23,FAIL,5,303,Mahrez,MID,210,Mitrović,FWD,2.6836,2.5264,0.1572,0.1572,near,2.7444,-5.0,2.5872,0,0,1,0,0,1,0,1
2022-23,FAIL,5,303,Mahrez,MID,116,Mac Allister,MID,2.6836,2.3984,0.2852,0.2852,mid,2.5032,-6.0,2.5872,0,1,1,0,0,1,0,1
2022-23,FAIL,5,303,Mahrez,MID,156,Ward,DEF,2.6836,2.308,0.3756,0.3756,mid,3.1036,2.0,2.5872,0,0,1,1,0,1,0,0
2022-23,FAIL,5,303,Mahrez,MID,318,Haaland,FWD,2.6836,3.56,-0.8764,0.8764,large,1.7108,-13.0,2.5872,0,0,1,0,0,0,1,1
2022-23,FAIL,5,465,Bowen,MID,288,Diogo Jota,FWD,2.724,3.03,-0.306,0.306,mid,0.8372,2.0,1.1432,0,0,1,1,0,0,1,0
2022-23,FAIL,5,465,Bowen,MID,257,Amartey,DEF,2.724,2.3476,0.3764,0.3764,mid,1.7392,2.0,1.1432,0,0,1,1,0,1,0,0
2022-23,FAIL,5,465,Bowen,MID,258,Castagne,DEF,2.724,2.3148,0.4092,0.4092,mid,1.626,2.0,1.1432,0,0,1,1,0,1,0,0
2022-23,FAIL,5,465,Bowen,MID,301,De Bruyne,MID,2.724,3.414,-0.69,0.69,mid,-0.3088,1.0,1.1432,0,1,0,1,0,0,1,0
2022-23,FAIL,5,465,Bowen,MID,210,Mitrović,FWD,2.724,2.5264,0.1976,0.1976,near,1.3408,-7.0,1.1432,1,0,1,0,0,1,0,1
2022-23,FAIL,5,465,Bowen,MID,116,Mac Allister,MID,2.724,2.3984,0.3256,0.3256,mid,1.0996,-8.0,1.1432,1,1,1,0,0,1,0,1
2022-23,FAIL,5,465,Bowen,MID,156,Ward,DEF,2.724,2.308,0.416,0.416,mid,1.7,0.0,1.1432,1,0,1,0,1,1,0,0
2022-23,FAIL,5,465,Bowen,MID,318,Haaland,FWD,2.724,3.56,-0.836,0.836,large,0.3072,-15.0,1.1432,1,0,1,0,0,0,1,1
2022-23,FAIL,5,279,Firmino,FWD,288,Diogo Jota,FWD,2.3972,3.03,-0.6328,0.6328,mid,0.4744,9.0,1.1072,0,1,1,1,0,0,1,0
2022-23,FAIL,5,279,Firmino,FWD,257,Amartey,DEF,2.3972,2.3476,0.0496,0.0496,near,1.3764,9.0,1.1072,0,0,1,1,0,1,0,0
2022-23,FAIL,5,279,Firmino,FWD,258,Castagne,DEF,2.3972,2.3148,0.0824,0.0824,near,1.2632,9.0,1.1072,0,0,1,1,0,1,0,0
2022-23,FAIL,5,279,Firmino,FWD,301,De Bruyne,MID,2.3972,3.414,-1.0168,1.0168,large,-0.6716,8.0,1.1072,0,0,0,1,0,0,1,0
2022-23,FAIL,5,279,Firmino,FWD,210,Mitrović,FWD,2.3972,2.5264,-0.1292,0.1292,near,0.978,0.0,1.1072,1,1,1,0,1,0,1,0
2022-23,FAIL,5,279,Firmino,FWD,116,Mac Allister,MID,2.3972,2.3984,-0.0012,0.0012,near,0.7368,-1.0,1.1072,1,0,1,0,0,0,1,1
2022-23,FAIL,5,279,Firmino,FWD,156,Ward,DEF,2.3972,2.308,0.0892,0.0892,near,1.3372,7.0,1.1072,1,0,1,1,0,1,0,0
2022-23,FAIL,5,279,Firmino,FWD,318,Haaland,FWD,2.3972,3.56,-1.1628,1.1628,large,-0.0556,-8.0,1.1072,1,1,0,0,0,0,1,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,288,Diogo Jota,FWD,2.6452,3.03,-0.3848,0.3848,mid,0.1912,2.0,0.576,0,0,1,1,0,0,1,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,257,Amartey,DEF,2.6452,2.3476,0.2976,0.2976,mid,1.0932,2.0,0.576,0,1,1,1,0,1,0,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,258,Castagne,DEF,2.6452,2.3148,0.3304,0.3304,mid,0.98,2.0,0.576,0,1,1,1,0,1,0,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,301,De Bruyne,MID,2.6452,3.414,-0.7688,0.7688,large,-0.9548,1.0,0.576,0,0,0,1,0,0,1,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,210,Mitrović,FWD,2.6452,2.5264,0.1188,0.1188,near,0.6948,-7.0,0.576,1,0,1,0,0,1,0,1
2022-23,FAIL,5,285,Alexander-Arnold,DEF,116,Mac Allister,MID,2.6452,2.3984,0.2468,0.2468,near,0.4536,-8.0,0.576,1,0,1,0,0,1,0,1
2022-23,FAIL,5,285,Alexander-Arnold,DEF,156,Ward,DEF,2.6452,2.308,0.3372,0.3372,mid,1.054,0.0,0.576,1,1,1,0,1,1,0,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,318,Haaland,FWD,2.6452,3.56,-0.9148,0.9148,large,-0.3388,-15.0,0.576,1,0,0,0,0,0,1,0
2022-23,FAIL,5,255,Vardy,FWD,288,Diogo Jota,FWD,2.5452,3.03,-0.4848,0.4848,mid,0.7228,2.0,1.2076,0,1,1,1,0,0,1,0
2022-23,FAIL,5,255,Vardy,FWD,257,Amartey,DEF,2.5452,2.3476,0.1976,0.1976,near,1.6248,2.0,1.2076,0,0,1,1,0,1,0,0
2022-23,FAIL,5,255,Vardy,FWD,258,Castagne,DEF,2.5452,2.3148,0.2304,0.2304,near,1.5116,2.0,1.2076,0,0,1,1,0,1,0,0
2022-23,FAIL,5,255,Vardy,FWD,301,De Bruyne,MID,2.5452,3.414,-0.8688,0.8688,large,-0.4232,1.0,1.2076,0,0,0,1,0,0,1,0
2022-23,FAIL,5,255,Vardy,FWD,210,Mitrović,FWD,2.5452,2.5264,0.0188,0.0188,near,1.2264,-7.0,1.2076,1,1,1,0,0,1,0,1
2022-23,FAIL,5,255,Vardy,FWD,116,Mac Allister,MID,2.5452,2.3984,0.1468,0.1468,near,0.9852,-8.0,1.2076,1,0,1,0,0,1,0,1
2022-23,FAIL,5,255,Vardy,FWD,156,Ward,DEF,2.5452,2.308,0.2372,0.2372,near,1.5856,0.0,1.2076,1,0,1,0,1,1,0,0
2022-23,FAIL,5,255,Vardy,FWD,318,Haaland,FWD,2.5452,3.56,-1.0148,1.0148,large,0.1928,-15.0,1.2076,1,1,1,0,0,0,1,1
2022-23,FAIL,6,356,Wilson,FWD,480,Neves,MID,2.5984,2.608,-0.0096,0.0096,near,0.5612,-2.0,0.7308,0,0,1,0,0,0,1,1
2022-23,FAIL,6,356,Wilson,FWD,288,Diogo Jota,FWD,2.5984,2.8292,-0.2308,0.2308,near,0.5,-1.0,0.7308,0,1,1,0,0,0,1,1
2022-23,FAIL,6,356,Wilson,FWD,516,Collins,DEF,2.5984,2.5984,0.0,0.0,near,0.7308,-9.0,0.7308,0,0,1,0,0,0,0,1
2022-23,FAIL,6,356,Wilson,FWD,104,Groß,MID,2.5984,2.8824,-0.284,0.284,mid,0.218,-5.0,0.7308,0,0,1,0,0,0,1,1
2022-23,FAIL,6,356,Wilson,FWD,106,Dunk,DEF,2.5984,2.632,-0.0336,0.0336,near,0.6692,-1.0,0.7308,0,0,1,0,0,0,1,1
2022-23,FAIL,6,356,Wilson,FWD,427,Kane,FWD,2.5984,3.2404,-0.642,0.642,mid,-0.2464,-9.0,0.7308,0,1,0,0,0,0,1,0
2022-23,FAIL,6,356,Wilson,FWD,210,Mitrović,FWD,2.5984,2.6796,-0.0812,0.0812,near,0.6496,-5.0,0.7308,0,1,1,0,0,0,1,1
2022-23,FAIL,6,261,Maddison,MID,480,Neves,MID,2.3492,2.608,-0.2588,0.2588,mid,0.6556,0.0,1.0744,1,1,1,0,1,0,1,0
2022-23,FAIL,6,261,Maddison,MID,288,Diogo Jota,FWD,2.3492,2.8292,-0.48,0.48,mid,0.5944,1.0,1.0744,0,0,1,1,0,0,1,0
2022-23,FAIL,6,261,Maddison,MID,516,Collins,DEF,2.3492,2.5984,-0.2492,0.2492,near,0.8252,-7.0,1.0744,1,0,1,0,0,0,1,1
2022-23,FAIL,6,261,Maddison,MID,104,Groß,MID,2.3492,2.8824,-0.5332,0.5332,mid,0.3124,-3.0,1.0744,1,1,1,0,0,0,1,1
2022-23,FAIL,6,261,Maddison,MID,106,Dunk,DEF,2.3492,2.632,-0.2828,0.2828,mid,0.7636,1.0,1.0744,1,0,1,1,0,0,1,0
2022-23,FAIL,6,261,Maddison,MID,427,Kane,FWD,2.3492,3.2404,-0.8912,0.8912,large,-0.152,-7.0,1.0744,1,0,0,0,0,0,1,0
2022-23,FAIL,6,261,Maddison,MID,210,Mitrović,FWD,2.3492,2.6796,-0.3304,0.3304,mid,0.744,-3.0,1.0744,1,0,1,0,0,0,1,1
2022-23,FAIL,6,357,Trippier,DEF,480,Neves,MID,2.3332,2.608,-0.2748,0.2748,mid,0.9236,6.0,1.3584,1,0,1,1,0,0,1,0
2022-23,FAIL,6,357,Trippier,DEF,288,Diogo Jota,FWD,2.3332,2.8292,-0.496,0.496,mid,0.8624,7.0,1.3584,0,0,1,1,0,0,1,0
2022-23,FAIL,6,357,Trippier,DEF,516,Collins,DEF,2.3332,2.5984,-0.2652,0.2652,mid,1.0932,-1.0,1.3584,1,1,1,0,0,0,1,1
2022-23,FAIL,6,357,Trippier,DEF,104,Groß,MID,2.3332,2.8824,-0.5492,0.5492,mid,0.5804,3.0,1.3584,1,0,1,1,0,0,1,0
2022-23,FAIL,6,357,Trippier,DEF,106,Dunk,DEF,2.3332,2.632,-0.2988,0.2988,mid,1.0316,7.0,1.3584,1,1,1,1,0,0,1,0
2022-23,FAIL,6,357,Trippier,DEF,427,Kane,FWD,2.3332,3.2404,-0.9072,0.9072,large,0.116,-1.0,1.3584,1,0,1,0,0,0,1,1
2022-23,FAIL,6,357,Trippier,DEF,210,Mitrović,FWD,2.3332,2.6796,-0.3464,0.3464,mid,1.012,3.0,1.3584,1,0,1,1,0,0,1,0
2022-23,FAIL,6,303,Mahrez,MID,480,Neves,MID,2.5668,2.608,-0.0412,0.0412,near,1.6172,-1.0,1.8184,0,1,1,0,0,0,1,1
2022-23,FAIL,6,303,Mahrez,MID,288,Diogo Jota,FWD,2.5668,2.8292,-0.2624,0.2624,mid,1.556,0.0,1.8184,0,0,1,0,1,0,1,0
2022-23,FAIL,6,303,Mahrez,MID,516,Collins,DEF,2.5668,2.5984,-0.0316,0.0316,near,1.7868,-8.0,1.8184,0,0,1,0,0,0,1,1
2022-23,FAIL,6,303,Mahrez,MID,104,Groß,MID,2.5668,2.8824,-0.3156,0.3156,mid,1.274,-4.0,1.8184,0,1,1,0,0,0,1,1
2022-23,FAIL,6,303,Mahrez,MID,106,Dunk,DEF,2.5668,2.632,-0.0652,0.0652,near,1.7252,0.0,1.8184,0,0,1,0,1,0,1,0
2022-23,FAIL,6,303,Mahrez,MID,427,Kane,FWD,2.5668,3.2404,-0.6736,0.6736,mid,0.8096,-8.0,1.8184,0,0,1,0,0,0,1,1
2022-23,FAIL,6,303,Mahrez,MID,210,Mitrović,FWD,2.5668,2.6796,-0.1128,0.1128,near,1.7056,-4.0,1.8184,0,0,1,0,0,0,1,1
2022-23,FAIL,6,145,Havertz,FWD,480,Neves,MID,2.6248,2.608,0.0168,0.0168,near,0.4532,4.0,0.5964,0,0,1,1,0,1,0,0
2022-23,FAIL,6,145,Havertz,FWD,288,Diogo Jota,FWD,2.6248,2.8292,-0.2044,0.2044,near,0.392,5.0,0.5964,0,1,1,1,0,0,1,0
