season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_v,delta_u,dpts,both60,tie_pts,v_pref_enter,u_pref_enter,actual_pref_enter,sign_disagree,n_feasible,best_y_feasible,regret_entrant,v_ctrl,v_swap,fixture_pairs_ctrl,fixture_pairs_swap
2022-23,FAIL,9,DEF,39,Mings,209,Tosin,0.0,-0.0728,6.0,1,0,0,0,1,0,25,10.0,4.0,27.8944,27.8944,3.0,3.0
2022-23,FAIL,9,DEF,39,Mings,484,Kilman,0.0,-0.0512,5.0,1,0,0,0,1,0,25,10.0,4.0,27.8944,27.8944,3.0,3.0
2022-23,FAIL,9,FWD,262,Iheanacho,356,Wilson,-0.0224,-0.7408,-6.0,0,0,0,0,0,0,25,23.0,23.0,27.8944,27.872,3.0,3.0
2022-23,FAIL,11,FWD,40,Watkins,617,Aubameyang,-0.1168,-0.1168,1.0,0,0,0,0,1,0,25,12.0,10.0,26.4132,26.2964,6.0,6.0
2022-23,FAIL,11,DEF,538,Young,209,Tosin,0.0,-0.0216,1.0,0,0,0,0,1,0,25,8.0,7.0,26.4132,26.4132,6.0,6.0
2022-23,FAIL,12,MID,261,Maddison,333,Fernandes,1.4652,-0.0788,-11.0,0,0,1,0,0,1,23,8.0,8.0,26.6576,28.1228,8.0,5.0
2022-23,FAIL,12,MID,264,Barnes,680,Gakpo,-0.2656,-0.4424,8.0,0,0,0,0,1,0,21,8.0,0.0,26.6576,26.392,8.0,8.0
2022-23,FAIL,12,MID,264,Barnes,333,Fernandes,1.4652,-0.2116,-3.0,1,0,1,0,0,1,23,8.0,0.0,26.6576,28.1228,8.0,5.0
2022-23,FAIL,12,MID,465,Bowen,333,Fernandes,1.4652,-0.1256,-11.0,1,0,1,0,0,1,23,8.0,8.0,26.6576,28.1228,8.0,5.0
2022-23,FAIL,12,DEF,366,Schär,377,Botman,0.4804,-0.04,-2.0,1,0,1,0,0,1,24,8.0,3.0,26.6576,27.138,8.0,7.0
2022-23,FAIL,12,DEF,84,Ajer,342,Dalot,1.2744,-0.4872,-6.0,0,0,1,0,0,1,22,8.0,8.0,26.6576,27.932,8.0,5.0
2022-23,FAIL,12,DEF,84,Ajer,377,Botman,0.4804,-0.2812,-7.0,0,0,1,0,0,1,24,8.0,8.0,26.6576,27.138,8.0,7.0
2022-23,FAIL,13,FWD,288,Diogo Jota,617,Aubameyang,-1.3784,-0.3784,-2.0,0,0,0,0,0,0,22,6.0,6.0,29.778,28.3996,3.0,5.0
2022-23,FAIL,13,FWD,288,Diogo Jota,318,Haaland,-1.9948,-0.9948,-13.0,0,0,0,0,0,0,23,8.0,8.0,29.778,27.7832,3.0,5.0
2022-23,FAIL,13,FWD,166,Edouard,617,Aubameyang,-1.5588,-0.8816,0.0,1,1,0,0,0,0,22,6.0,4.0,29.778,28.2192,3.0,5.0
2022-23,FAIL,13,FWD,166,Edouard,318,Haaland,-2.1752,-1.498,-11.0,1,0,0,0,0,0,23,8.0,6.0,29.778,27.6028,3.0,5.0
2022-23,FAIL,13,DEF,141,Chalobah,475,Coady,-0.8168,-0.3168,-4.0,1,0,0,0,0,0,22,12.0,10.0,29.778,28.9612,3.0,4.0
2022-23,FAIL,14,FWD,166,Edouard,66,Solanke,0.0,-0.4652,4.0,1,0,0,0,1,0,22,19.0,13.0,29.7608,29.7608,4.0,4.0
2022-23,FAIL,14,FWD,166,Edouard,427,Kane,-0.1544,-0.8676,5.0,1,0,0,0,1,0,24,19.0,13.0,29.7608,29.6064,4.0,4.0
2022-23,FAIL,14,DEF,257,Amartey,576,Senesi,-0.0388,-0.0996,1.0,1,0,0,0,1,0,23,7.0,5.0,29.7608,29.722,4.0,4.0
2022-23,FAIL,14,DEF,257,Amartey,342,Dalot,-0.0036,-0.0644,-7.0,1,0,0,0,0,0,23,7.0,5.0,29.7608,29.7572,4.0,4.0
2022-23,FAIL,14,DEF,39,Mings,576,Senesi,-0.0388,-0.5924,-1.0,1,0,0,0,0,0,24,7.0,7.0,29.7608,29.722,4.0,4.0
2022-23,FAIL,14,DEF,39,Mings,342,Dalot,-0.0036,-0.5572,-9.0,1,0,0,0,0,0,24,7.0,7.0,29.7608,29.7572,4.0,4.0
2022-23,FAIL,14,MID,261,Maddison,680,Gakpo,0.2844,-0.4408,2.0,0,0,1,0,1,1,23,9.0,7.0,29.7608,30.0452,4.0,3.0
2022-23,FAIL,14,MID,261,Maddison,169,Eze,-0.5116,-0.2368,-1.0,1,0,0,0,0,0,22,9.0,7.0,29.7608,29.2492,4.0,5.0
2022-23,FAIL,14,MID,374,Bruno Guimarães,680,Gakpo,0.2844,-0.534,3.0,0,0,1,0,1,1,23,9.0,6.0,29.7608,30.0452,4.0,3.0
2022-23,FAIL,14,MID,374,Bruno Guimarães,169,Eze,-0.5116,-0.33,0.0,1,1,0,0,0,0,22,9.0,6.0,29.7608,29.2492,4.0,5.0
2022-23,FAIL,14,MID,374,Bruno Guimarães,369,Almirón,0.0,-0.2916,-9.0,1,0,0,0,0,0,21,9.0,6.0,29.7608,29.7608,4.0,4.0
2022-23,FAIL,14,GKP,518,Hennessey,2,Leno,0.0,-0.7404,-10.0,0,0,0,0,0,0,23,11.0,11.0,29.7608,29.7608,4.0,4.0
2022-23,FAIL,15,FWD,288,Diogo Jota,427,Kane,-0.3324,-0.3324,-8.0,0,0,0,0,0,0,24,9.0,9.0,28.4908,28.1584,5.0,5.0
2022-23,FAIL,15,FWD,166,Edouard,66,Solanke,0.0,-0.512,-6.0,0,0,0,0,0,0,8,6.0,6.0,28.4908,28.4908,5.0,5.0
2022-23,FAIL,15,FWD,166,Edouard,427,Kane,0.5596,-0.9524,-8.0,0,0,1,0,0,1,24,9.0,9.0,28.4908,29.0504,5.0,3.0
2022-23,FAIL,15,DEF,39,Mings,516,Collins,-0.2512,-0.2512,1.0,1,0,0,0,1,0,18,7.0,6.0,28.4908,28.2396,5.0,5.0
2022-23,FAIL,15,DEF,39,Mings,461,Zouma,-0.1772,-0.1772,0.0,1,1,0,0,0,0,18,7.0,6.0,28.4908,28.3136,5.0,5.0
