season,gw,player_id,web_name,mu0,ep_next,mu1,blended,identity_reason
2022-23,6,17,Tavares,0.0,0.0,0.0,1,
2022-23,6,19,Martinelli,2.0548,6.8,3.71562,1,
2022-23,6,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,6,22,Torreira,0.0,0.0,0.0,1,
2022-23,6,23,Nelson,0.0,0.0,0.0,1,
2022-23,6,24,Turner,2.5236,0.0,1.64034,1,
2022-23,6,25,Fábio Vieira,1.4748,0.0,0.95862,1,
2022-23,6,26,Saliba,2.6576,5.8,3.75744,1,
2022-23,6,27,Marquinhos,0.6372,0.0,0.41418,1,
2022-23,6,28,Jesus,2.064,6.4,3.5816,1,
2022-23,6,111,Trossard,2.1128,4.0,2.77332,1,
2022-23,6,130,Jorginho,1.9768,4.3,2.78992,1,
2022-23,6,313,Zinchenko,0.4148,1.9,0.93462,1,
2022-23,6,607,Smith,0.462,1.1,0.6853,1,
2022-23,6,29,Coutinho,1.686,0.4,1.2359,1,
2022-23,6,31,Martínez,3.5836,2.8,3.30934,1,
2022-23,6,32,Chambers,0.5264,-0.4,0.20216,1,
2022-23,6,33,Digne,2.2608,-0.2,1.39952,1,
2022-23,6,34,Traoré,0.0,0.0,0.0,1,
2022-23,6,35,Olsen,0.16,-1.0,-0.246,1,
2022-23,6,36,Sanson,0.86,-1.0,0.209,1,
2022-23,6,37,McGinn,2.0608,0.6,1.54952,1,
2022-23,6,38,Hause,0.0,0.0,0.0,1,
2022-23,6,39,Mings,2.2924,-0.2,1.42006,1,
2022-23,6,40,Watkins,2.5592,3.4,2.85348,1,
2022-23,6,41,Nakamba,1.1032,-1.0,0.36708,1,
2022-23,8,3,Xhaka,2.0192,3.5,2.53748,1,
2022-23,8,4,Elneny,0.0,0.0,0.0,1,
2022-23,8,5,Holding,0.4948,1.0,0.67162,1,
2022-23,8,6,Partey,0.0,0.0,0.0,1,
2022-23,8,7,Ødegaard,1.2512,7.7,3.50828,1,
2022-23,8,8,Tierney,0.6504,1.7,1.01776,1,
2022-23,8,9,Pépé,0.0,0.0,0.0,1,
2022-23,8,10,White,0.8088,4.7,2.17072,1,
2022-23,8,11,Nketiah,1.4204,1.5,1.44826,1,
2022-23,8,12,Smith Rowe,1.1824,1.0,1.11856,1,
2022-23,8,13,Saka,1.0892,5.5,2.63298,1,
2022-23,8,14,Tomiyasu,0.4836,1.5,0.83934,1,
2022-23,8,15,Ramsdale,2.3912,3.5,2.77928,1,
2022-23,8,16,Gabriel,2.3936,5.3,3.41084,1,
2022-23,8,17,Tavares,0.0,0.0,0.0,1,
2022-23,8,19,Martinelli,2.6004,5.5,3.61526,1,
2022-23,8,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,8,22,Torreira,0.0,0.0,0.0,1,
2022-23,8,23,Nelson,0.0,0.0,0.0,1,
2022-23,8,24,Turner,0.1596,0.5,0.27874,1,
2022-23,8,25,Fábio Vieira,1.4132,0.7,1.16358,1,
2022-23,8,26,Saliba,2.442,6.0,3.6873,1,
2022-23,8,27,Marquinhos,0.6564,0.5,0.60166,1,
2022-23,8,28,Jesus,0.9908,3.5,1.86902,1,
2022-23,8,111,Trossard,1.0576,0.0,0.68744,1,
2022-23,8,130,Jorginho,0.9572,0.0,0.62218,1,
2022-23,8,313,Zinchenko,0.9032,2.3,1.39208,1,
2022-23,8,607,Smith,0.4544,0.5,0.47036,1,
2022-23,8,29,Coutinho,1.552,1.5,1.5338,1,
2022-23,8,31,Martínez,0.3052,3.4,1.38838,1,
2022-23,8,32,Chambers,0.5072,0.5,0.50468,1,
2022-23,8,33,Digne,2.0792,1.2,1.77148,1,
2022-23,8,34,Traoré,0.0,0.0,0.0,1,
2022-23,8,35,Olsen,0.1124,0.0,0.07306,1,
2022-23,8,36,Sanson,0.8756,0.0,0.56914,1,
2022-23,8,37,McGinn,0.8364,1.5,1.06866,1,
2022-23,8,38,Hause,0.0,0.0,0.0,1,
2022-23,8,39,Mings,0.8428,1.0,0.89782,1,
2022-23,8,40,Watkins,2.0604,2.2,2.10926,1,
2022-23,8,41,Nakamba,1.1312,0.0,0.73528,1,
2022-23,9,3,Xhaka,2.1116,3.5,2.59754,1,
2022-23,9,4,Elneny,0.0,0.0,0.0,1,
2022-23,9,5,Holding,0.5044,0.0,0.32786,1,
2022-23,9,6,Partey,0.7736,1.1,0.88784,1,
2022-23,9,7,Ødegaard,1.3824,1.0,1.24856,1,
2022-23,9,8,Tierney,0.638,2.2,1.1847,1,
2022-23,9,9,Pépé,0.0,0.0,0.0,1,
2022-23,9,10,White,0.8912,3.5,1.80428,1,
2022-23,9,11,Nketiah,1.4572,1.0,1.29718,1,
2022-23,9,12,Smith Rowe,0.0,0.0,0.0,1,
2022-23,9,13,Saka,1.1392,8.0,3.54048,1,
2022-23,9,14,Tomiyasu,0.5404,1.0,0.70126,1,
2022-23,9,15,Ramsdale,2.7256,4.0,3.17164,1,
2022-23,9,16,Gabriel,2.6276,3.5,2.93294,1,
2022-23,9,17,Tavares,0.0,0.0,0.0,1,
2022-23,9,19,Martinelli,1.3488,2.5,1.75172,1,
2022-23,9,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,9,22,Torreira,0.0,0.0,0.0,1,
2022-23,9,23,Nelson,0.5508,0.0,0.35802,1,
2022-23,9,24,Turner,0.1712,0.0,0.11128,1,
2022-23,9,25,Fábio Vieira,1.552,5.5,2.9338,1,
2022-23,9,26,Saliba,2.8004,7.5,4.44526,1,
2022-23,9,27,Marquinhos,0.7452,0.5,0.65938,1,
2022-23,9,28,Jesus,1.1084,3.5,1.94546,1,
2022-23,9,111,Trossard,1.1544,11.0,4.60036,1,
2022-23,9,130,Jorginho,1.0332,1.5,1.19658,1,
2022-23,9,313,Zinchenko,0.8464,0.4,0.69016,1,
2022-23,9,607,Smith,0.49,0.0,0.3185,1,
2022-23,9,630,Nwaneri,0.4288,1.2,0.69872,1,
2022-23,9,631,Sousa,0.504,1.2,0.7476,1,
2022-23,9,29,Coutinho,1.0496,1.5,1.20724,1,
2022-23,9,31,Martínez,2.894,4.5,3.4561,1,
2022-23,9,32,Chambers,0.4276,0.0,0.27794,1,
2022-23,9,33,Digne,0.0,0.0,0.0,1,
