season,gw,deadline_utc,last_pre_snapshot_utc,lag_hours,pre_deadline_ok
2023-24,4,2023-09-01T17:30:00+00:00,2023-09-01T12:32:00+00:00,4.97,True
2023-24,5,2023-09-16T10:00:00+00:00,2023-09-16T06:20:00+00:00,3.67,True
2023-24,6,2023-09-23T12:30:00+00:00,2023-09-23T12:30:00+00:00,0.0,True
2023-24,7,2023-09-30T10:00:00+00:00,2023-09-30T06:21:00+00:00,3.65,True
2023-24,8,2023-10-07T10:00:00+00:00,2023-10-07T06:21:00+00:00,3.65,True
2023-24,9,2023-10-21T10:00:00+00:00,2023-10-21T06:21:00+00:00,3.65,True
2023-24,10,2023-10-27T17:30:00+00:00,2023-10-27T12:33:00+00:00,4.95,True
2023-24,11,2023-11-04T11:00:00+00:00,2023-11-04T06:21:00+00:00,4.65,True
2023-24,12,2023-11-11T11:00:00+00:00,2023-11-11T06:21:00+00:00,4.65,True
2023-24,13,2023-11-25T11:00:00+00:00,2023-11-25T06:21:00+00:00,4.65,True
2023-24,14,2023-12-02T13:30:00+00:00,2023-12-02T12:31:00+00:00,0.98,True
2023-24,15,2023-12-05T18:00:00+00:00,2023-12-05T12:34:00+00:00,5.43,True
2023-24,16,2023-12-09T11:00:00+00:00,2023-12-09T06:21:00+00:00,4.65,True
2023-24,17,2023-12-15T18:30:00+00:00,2023-12-15T18:22:00+00:00,0.13,True
2023-24,18,2023-12-21T18:30:00+00:00,2023-12-21T18:20:00+00:00,0.17,True
2023-24,19,2023-12-26T11:00:00+00:00,2023-12-26T06:22:00+00:00,4.63,True
2023-24,20,2023-12-30T11:00:00+00:00,2023-12-30T06:21:00+00:00,4.65,True
2023-24,21,2024-01-12T18:15:00+00:00,2024-01-12T12:34:00+00:00,5.68,True
2023-24,22,2024-01-30T18:00:00+00:00,2024-01-30T12:31:00+00:00,5.48,True
2023-24,23,2024-02-03T11:00:00+00:00,2024-02-03T06:20:00+00:00,4.67,True
2023-24,24,2024-02-10T11:00:00+00:00,2024-02-10T06:20:00+00:00,4.67,True
2023-24,25,2024-02-17T11:00:00+00:00,2024-02-17T06:21:00+00:00,4.65,True
2023-24,26,2024-02-24T13:30:00+00:00,2024-02-24T12:29:00+00:00,1.02,True
2023-24,27,2024-03-02T13:30:00+00:00,2024-03-02T12:29:00+00:00,1.02,True
2023-24,28,2024-03-09T11:00:00+00:00,2024-03-09T06:23:00+00:00,4.62,True
2023-24,29,2024-03-16T13:30:00+00:00,2024-03-16T12:31:00+00:00,0.98,True
2023-24,30,2024-03-30T11:00:00+00:00,2024-03-30T06:21:00+00:00,4.65,True
2023-24,31,2024-04-02T17:00:00+00:00,2024-04-02T12:33:00+00:00,4.45,True
2023-24,32,2024-04-06T10:00:00+00:00,2024-04-06T06:21:00+00:00,3.65,True
2023-24,33,2024-04-13T10:00:00+00:00,2024-04-13T06:17:00+00:00,3.72,True
2023-24,34,2024-04-20T12:30:00+00:00,2024-04-20T12:30:00+00:00,0.0,True
2023-24,35,2024-04-27T10:00:00+00:00,2024-04-27T06:23:00+00:00,3.62,True
2023-24,36,2024-05-03T17:30:00+00:00,2024-05-03T12:32:00+00:00,4.97,True
2023-24,37,2024-05-11T10:00:00+00:00,2024-05-11T06:22:00+00:00,3.63,True
2023-24,38,2024-05-19T13:30:00+00:00,2024-05-19T12:33:00+00:00,0.95,True
2024-25,1,2024-08-16T17:30:00+00:00,2024-08-16T12:38:00+00:00,4.87,True
2024-25,2,2024-08-24T10:00:00+00:00,2024-08-24T06:27:00+00:00,3.55,True
2024-25,3,2024-08-31T10:00:00+00:00,2024-08-31T06:27:00+00:00,3.55,True
2024-25,4,2024-09-14T10:00:00+00:00,2024-09-14T06:29:00+00:00,3.52,True
2024-25,5,2024-09-21T10:00:00+00:00,2024-09-21T06:28:00+00:00,3.53,True
2024-25,6,2024-09-28T10:00:00+00:00,2024-09-28T06:28:00+00:00,3.53,True
2024-25,7,2024-10-05T10:00:00+00:00,2024-10-05T06:29:00+00:00,3.52,True
2024-25,8,2024-10-19T10:00:00+00:00,2024-10-19T06:28:00+00:00,3.53,True
2024-25,9,2024-10-25T17:30:00+00:00,2024-10-25T12:43:00+00:00,4.78,True
2024-25,10,2024-11-02T11:00:00+00:00,2024-11-02T06:30:00+00:00,4.5,True
2024-25,11,2024-11-09T13:30:00+00:00,2024-11-09T12:38:00+00:00,0.87,True
