season,e024_gate,gw,treatment_source,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_margin,abs_ctrl_margin,gap_bucket,treat_lift,ctrl_mu_enter,ctrl_mu_left,treat_mu_enter,enter_sigma,enter_p10,enter_p_start,enter_price,enter_recent4,enter_mins,left_mins,enter_pts,left_pts,dpts,both60,outcome
2022-23,FAIL,8,rates_v2b_packaged,465,Bowen,MID,480,Neves,MID,-0.0296,0.0296,near,0.9008,2.4008,2.4304,3.3016,2.1892,0.0136,0.72,81,270,90.0,90.0,2.0,1.0,1.0,1,good
2022-23,FAIL,8,rates_v2b_packaged,189,Gray,MID,480,Neves,MID,-0.0344,0.0344,near,0.5124,2.396,2.4304,2.9084,1.8412,0.0036,0.72,55,270,80.0,90.0,3.0,1.0,2.0,1,good
2022-23,FAIL,9,rates_v2b_packaged,40,Watkins,FWD,356,Wilson,FWD,-0.092,0.092,near,0.23,2.3476,2.4396,2.5776,1.956,0.0056,0.72,72,270,90.0,65.0,2.0,6.0,-4.0,1,bad
2022-23,FAIL,9,rates_v2b_packaged,2,Leno,GKP,81,Raya,GKP,-0.0024,0.0024,near,0.0,3.2876,3.29,3.2876,2.3571,0.0032,0.85,45,270,90.0,90.0,2.0,6.0,-4.0,1,bad
2022-23,FAIL,9,rates_v2b_packaged,357,Trippier,DEF,71,Mepham,DEF,-0.2368,0.2368,near,0.8612,2.2816,2.5184,3.1428,2.2958,0.0056,0.72,54,270,82.0,90.0,7.0,6.0,1.0,1,good
2022-23,FAIL,11,rates_v2b_packaged,40,Watkins,FWD,617,Aubameyang,FWD,-0.1168,0.1168,near,0.2352,2.38,2.4968,2.6152,1.9562,0.006,0.72,72,270,90.0,57.0,2.0,1.0,1.0,0,not_both60
2022-23,FAIL,12,rates_v2b_packaged,288,Diogo Jota,FWD,66,Solanke,FWD,-0.0348,0.0348,near,1.2036,2.4964,2.5312,3.7,2.4042,0.0228,0.72,89,185,0.0,90.0,0.0,2.0,-2.0,0,not_both60
2022-23,FAIL,12,rates_v2b_packaged,261,Maddison,MID,680,Gakpo,MID,-0.3096,0.3096,mid,0.8508,2.4652,2.7748,3.316,2.3436,0.014,0.72,82,354,0.0,0.0,0.0,0.0,0.0,0,not_both60
2022-23,FAIL,12,rates_v2b_packaged,261,Maddison,MID,333,Fernandes,MID,-0.0788,0.0788,near,0.8508,2.4652,2.544,3.316,2.3436,0.014,0.72,82,354,0.0,90.0,0.0,11.0,-11.0,0,not_both60
2022-23,FAIL,12,rates_v2b_packaged,264,Barnes,MID,680,Gakpo,MID,-0.4424,0.4424,mid,0.932,2.3324,2.7748,3.2644,1.9927,0.0068,0.72,69,354,84.0,0.0,8.0,0.0,8.0,0,not_both60
2022-23,FAIL,12,rates_v2b_packaged,264,Barnes,MID,333,Fernandes,MID,-0.2116,0.2116,near,0.932,2.3324,2.544,3.2644,1.9927,0.0068,0.72,69,354,84.0,90.0,8.0,11.0,-3.0,1,bad
2022-23,FAIL,12,rates_v2b_packaged,465,Bowen,MID,680,Gakpo,MID,-0.3564,0.3564,mid,0.5372,2.4184,2.7748,2.9556,2.0336,0.0072,0.72,82,360,90.0,0.0,0.0,0.0,0.0,0,not_both60
2022-23,FAIL,12,rates_v2b_packaged,465,Bowen,MID,333,Fernandes,MID,-0.1256,0.1256,near,0.5372,2.4184,2.544,2.9556,2.0336,0.0072,0.72,82,360,90.0,90.0,0.0,11.0,-11.0,1,bad
2022-23,FAIL,12,rates_v2b_packaged,374,Bruno Guimarães,MID,680,Gakpo,MID,-0.312,0.312,mid,1.0604,2.4628,2.7748,3.5232,2.0769,0.006,0.72,57,283,90.0,0.0,6.0,0.0,6.0,0,not_both60
2022-23,FAIL,12,rates_v2b_packaged,374,Bruno Guimarães,MID,333,Fernandes,MID,-0.0812,0.0812,near,1.0604,2.4628,2.544,3.5232,2.0769,0.006,0.72,57,283,90.0,90.0,6.0,11.0,-5.0,1,bad
2022-23,FAIL,12,rates_v2b_packaged,366,Schär,DEF,258,Castagne,DEF,-0.1168,0.1168,near,0.1532,2.4888,2.6056,2.642,2.4509,0.0064,0.72,48,352,90.0,90.0,5.0,6.0,-1.0,1,bad
2022-23,FAIL,12,rates_v2b_packaged,366,Schär,DEF,342,Dalot,DEF,-0.246,0.246,near,0.1532,2.4888,2.7348,2.642,2.4509,0.0064,0.72,48,352,90.0,90.0,5.0,6.0,-1.0,1,bad
2022-23,FAIL,12,rates_v2b_packaged,366,Schär,DEF,377,Botman,DEF,-0.04,0.04,near,0.1532,2.4888,2.5288,2.642,2.4509,0.0064,0.72,48,352,90.0,90.0,5.0,7.0,-2.0,1,bad
2022-23,FAIL,13,rates_v2b_packaged,288,Diogo Jota,FWD,617,Aubameyang,FWD,-0.3784,0.3784,mid,0.8268,2.3296,2.708,3.1564,2.2097,0.0164,0.72,89,185,0.0,73.0,0.0,2.0,-2.0,0,not_both60
