season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,du,dpts,enter_u,left_u,enter_pts,left_pts,enter_mins,left_mins,enter_mu_delta,both60,both_play,model_pref_enter,actual_pref_enter,tie_pts
2022-23,FAIL,3,303,Mahrez,MID,283,Salah,MID,0.0416,-8.0,4.6048,4.5632,0.0,8.0,0.0,90.0,1.944,0,0,1,0,0
2022-23,FAIL,3,303,Mahrez,MID,465,Bowen,MID,0.3004,-2.0,4.6048,4.3044,0.0,2.0,0.0,90.0,1.944,0,0,1,0,0
2022-23,FAIL,3,303,Mahrez,MID,110,Maupay,FWD,1.2452,0.0,4.6048,3.3596,0.0,0.0,0.0,0.0,1.944,0,0,1,0,1
2022-23,FAIL,4,465,Bowen,MID,81,Raya,GKP,0.2412,-3.0,3.5792,3.338,3.0,6.0,90.0,90.0,1.0044,1,1,1,0,0
2022-23,FAIL,4,465,Bowen,MID,300,Gündogan,MID,0.0872,-1.0,3.5792,3.492,3.0,4.0,90.0,29.0,1.0044,0,1,1,0,0
2022-23,FAIL,4,465,Bowen,MID,301,De Bruyne,MID,-0.7896,1.0,3.5792,4.3688,3.0,2.0,90.0,88.0,1.0044,1,1,0,1,0
2022-23,FAIL,4,465,Bowen,MID,110,Maupay,FWD,0.6656,3.0,3.5792,2.9136,3.0,0.0,90.0,0.0,1.0044,0,0,1,1,0
2022-23,FAIL,4,314,Foden,MID,81,Raya,GKP,0.2108,-2.0,3.5488,3.338,4.0,6.0,90.0,90.0,0.8644,1,1,1,0,0
2022-23,FAIL,4,314,Foden,MID,300,Gündogan,MID,0.0568,0.0,3.5488,3.492,4.0,4.0,90.0,29.0,0.8644,0,1,1,0,1
2022-23,FAIL,4,314,Foden,MID,301,De Bruyne,MID,-0.82,2.0,3.5488,4.3688,4.0,2.0,90.0,88.0,0.8644,1,1,0,1,0
2022-23,FAIL,4,314,Foden,MID,110,Maupay,FWD,0.6352,4.0,3.5488,2.9136,4.0,0.0,90.0,0.0,0.8644,0,0,1,1,0
2022-23,FAIL,4,446,Kulusevski,MID,81,Raya,GKP,0.266,0.0,3.604,3.338,6.0,6.0,82.0,90.0,1.1856,1,1,1,0,1
2022-23,FAIL,4,446,Kulusevski,MID,300,Gündogan,MID,0.112,2.0,3.604,3.492,6.0,4.0,82.0,29.0,1.1856,0,1,1,1,0
2022-23,FAIL,4,446,Kulusevski,MID,301,De Bruyne,MID,-0.7648,4.0,3.604,4.3688,6.0,2.0,82.0,88.0,1.1856,1,1,0,1,0
2022-23,FAIL,4,446,Kulusevski,MID,110,Maupay,FWD,0.6904,6.0,3.604,2.9136,6.0,0.0,82.0,0.0,1.1856,0,0,1,1,0
2022-23,FAIL,4,518,Hennessey,GKP,81,Raya,GKP,-0.0244,-6.0,3.3136,3.338,0.0,6.0,0.0,90.0,0.0,0,0,0,0,0
2022-23,FAIL,4,518,Hennessey,GKP,300,Gündogan,MID,-0.1784,-4.0,3.3136,3.492,0.0,4.0,0.0,29.0,0.0,0,0,0,0,0
2022-23,FAIL,4,518,Hennessey,GKP,301,De Bruyne,MID,-1.0552,-2.0,3.3136,4.3688,0.0,2.0,0.0,88.0,0.0,0,0,0,0,0
2022-23,FAIL,4,518,Hennessey,GKP,110,Maupay,FWD,0.4,0.0,3.3136,2.9136,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1
2022-23,FAIL,5,261,Maddison,MID,288,Diogo Jota,FWD,0.998,1.0,4.028,3.03,1.0,0.0,90.0,0.0,1.4424,0,0,1,1,0
2022-23,FAIL,5,261,Maddison,MID,257,Amartey,DEF,1.9,1.0,4.028,2.128,1.0,0.0,90.0,0.0,1.4424,0,0,1,1,0
2022-23,FAIL,5,261,Maddison,MID,258,Castagne,DEF,1.7868,1.0,4.028,2.2412,1.0,0.0,90.0,0.0,1.4424,0,0,1,1,0
2022-23,FAIL,5,261,Maddison,MID,301,De Bruyne,MID,-0.148,0.0,4.028,4.176,1.0,1.0,90.0,21.0,1.4424,0,1,0,0,1
2022-23,FAIL,5,261,Maddison,MID,210,Mitrović,FWD,1.5016,-8.0,4.028,2.5264,1.0,9.0,90.0,90.0,1.4424,1,1,1,0,0
2022-23,FAIL,5,261,Maddison,MID,116,Mac Allister,MID,1.2604,-9.0,4.028,2.7676,1.0,10.0,90.0,90.0,1.4424,1,1,1,0,0
2022-23,FAIL,5,261,Maddison,MID,156,Ward,DEF,1.8608,-1.0,4.028,2.1672,1.0,2.0,90.0,90.0,1.4424,1,1,1,0,0
2022-23,FAIL,5,261,Maddison,MID,318,Haaland,FWD,0.468,-16.0,4.028,3.56,1.0,17.0,90.0,68.0,1.4424,1,1,1,0,0
