season,e024_gate,gw,u_bench,bench_pts,cap_normal,cap_bb,bench_ids,bench_names,is_t_star,is_g_star
2023-24,PASS,31,10.7136,11.0,63.0,74.0,361|114|392|178,Ortega Moreno|Roerslev|McTominay|Taylor,0,0
2023-24,PASS,32,12.5892,9.0,58.0,67.0,361|43|265|688,Ortega Moreno|Douglas Luiz|Tarkowski|Castagne,0,0
2023-24,PASS,33,9.3788,2.0,70.0,72.0,361|178|393|33,Ortega Moreno|Taylor|Mengi|Archer,0,0
2023-24,PASS,34,25.7308,19.0,114.0,133.0,385|590|5|563,Henderson|Cunha|Gabriel|Kilman,1,0
2023-24,PASS,35,13.354,11.0,76.0,87.0,409|34|265|283,Dubravka|Bailey|Tarkowski|Robinson,0,0
2023-24,PASS,36,11.3972,4.0,77.0,81.0,361|279|805|393,Ortega Moreno|Muniz|Assignon|Mengi,0,0
2023-24,PASS,37,25.1788,35.0,86.0,121.0,148|135|616|407,Steele|João Pedro|Gvardiol|Burn,0,0
2023-24,PASS,38,11.2248,10.0,55.0,65.0,361|279|238|393,Ortega Moreno|Muniz|C.Richards|Mengi,0,0
2024-25,PASS,1,4.7592,1.0,43.0,44.0,183|658|225|754,Petrović|Heaven|Holgate|Van Nistelrooy,0,0
2024-25,PASS,2,8.3136,3.0,48.0,51.0,91|322|122|751,Flekken|Gomez|Estupiñan|Pereira,0,0
2024-25,PASS,3,6.024,0.0,52.0,52.0,522|715|630|743,Foderingham|Godfrey|O'Shea|McKenna,0,0
2024-25,PASS,4,8.9572,3.0,13.0,16.0,152|82|578|311,Arrizabalaga|Solanke|Calafiori|Alexander-Arnold,0,0
2024-25,PASS,5,8.642,1.0,51.0,52.0,51|36|472|754,Olsen|Digne|Stephens|Van Nistelrooy,0,0
2024-25,PASS,6,8.6992,2.0,55.0,57.0,91|270|282|742,Flekken|Greaves|Tuanzebe|Moyes,0,0
2024-25,PASS,7,8.654,7.0,57.0,64.0,522|338|291|750,Foderingham|Van den Berg|Faes|Potter,0,0
2024-25,PASS,8,9.4296,10.0,46.0,56.0,152|422|191|748,Arrizabalaga|Aina|Andersen|Rusk,0,0
2024-25,PASS,9,8.84,2.0,69.0,71.0,522|291|301|742,Foderingham|Faes|Okoli|Moyes,0,0
2024-25,PASS,10,8.398,12.0,48.0,60.0,14|630|338|743,Ramsdale|O'Shea|Van den Berg|McKenna,0,0
2024-25,PASS,11,8.896,7.0,66.0,73.0,522|520|338|750,Foderingham|Emerson|Van den Berg|Potter,0,0
2024-25,PASS,12,8.6592,4.0,30.0,34.0,14|630|263|754,Ramsdale|O'Shea|Burgess|Van Nistelrooy,0,0
2024-25,PASS,13,9.4812,1.0,82.0,83.0,522|594|145|750,Foderingham|Mazraoui|Veltman|Potter,0,0
2024-25,PASS,14,8.2128,1.0,65.0,66.0,294|263|291|743,Iversen|Burgess|Faes|McKenna,0,0
2024-25,PASS,15,9.5948,9.0,65.0,74.0,522|211|388|743,Foderingham|Muñoz|Wan-Bissaka|McKenna,0,0
2024-25,PASS,16,9.0528,3.0,46.0,49.0,522|436|122|750,Foderingham|Murillo|Estupiñan|Potter,0,0
2024-25,PASS,17,11.9064,5.0,37.0,42.0,522|530|88|524,Foderingham|Souček|Collins|Kilman,0,0
2024-25,PASS,18,8.3824,2.0,67.0,69.0,522|187|477|748,Foderingham|Tosin|Wood|Rusk,0,0
2024-25,PASS,19,11.1528,3.0,60.0,63.0,522|306|263|288,Foderingham|Vardy|Burgess|Coady,0,0
2024-25,PASS,20,7.3212,2.0,75.0,77.0,152|36|749|748,Arrizabalaga|Digne|Postecoglou|Rusk,0,1
2024-25,PASS,21,11.5444,5.0,55.0,60.0,304|306|187|295,Stolarczyk|Vardy|Tosin|Justin,0,0
2024-25,PASS,22,9.5564,1.0,38.0,39.0,14|436|267|743,Ramsdale|Murillo|Davis|McKenna,0,0
2024-25,PASS,23,8.7388,15.0,63.0,78.0,51|543|457|750,Olsen|Doherty|Bree|Potter,0,0
2024-25,PASS,24,9.8588,26.0,104.0,130.0,91|580|573|751,Flekken|Huijsen|Milenković|Pereira,0,0
2024-25,PASS,25,9.4496,2.0,104.0,106.0,521|211|291|750,Fabianski|Muñoz|Faes|Potter,0,0
2024-25,PASS,26,8.2112,0.0,65.0,65.0,521|457|291|754,Fabianski|Bree|Faes|Van Nistelrooy,0,0
2024-25,PASS,27,8.6308,14.0,58.0,72.0,14|650|457|750,Ramsdale|Lacroix|Bree|Potter,0,0
2024-25,PASS,28,8.6924,6.0,58.0,64.0,14|388|291|750,Ramsdale|Wan-Bissaka|Faes|Potter,0,0
2024-25,PASS,29,12.1228,3.0,56.0,59.0,283|252|580|270,Walton|Raúl|Huijsen|Greaves,0,0
2024-25,PASS,30,9.4532,20.0,38.0,58.0,185|580|437|748,Sánchez|Huijsen|N.Williams|Rusk,0,0
2024-25,PASS,31,12.1944,8.0,41.0,49.0,304|252|594|295,Stolarczyk|Raúl|Mazraoui|Justin,0,0
2024-25,PASS,32,13.9272,34.0,77.0,111.0,14|617|533|436,Ramsdale|Evanilson|Aït-Nouri|Murillo,0,0
2024-25,PASS,33,15.724,5.0,78.0,83.0,51|252|369|436,Olsen|Raúl|Dalot|Murillo,1,0
2024-25,PASS,34,12.8312,24.0,58.0,82.0,91|252|159|580,Flekken|Raúl|Chalobah|Huijsen,0,0
2024-25,PASS,35,9.9884,15.0,54.0,69.0,185|163|122|737,Sánchez|Cucurella|Estupiñan|Emery,0,0
2024-25,PASS,36,12.1804,22.0,33.0,55.0,91|252|270|263,Flekken|Raúl|Greaves|Burgess,0,0
