season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_pair,delta_ilp,delta_full,delta_reeq,abs_reeq_gt_pair,g_treat,g_ctrl,ctrl_cap,pair_cap,full_cap,entrant_pts,leaver_pts,dpts_swap
2022-23,FAIL,6,FWD,380,Lyle Taylor,427,Kane,-7.0,-8.0,-8.0,-1.0,0,4.9965,0.9987,47.0,40.0,39.0,0.0,9.0,-9.0
2022-23,FAIL,6,FWD,380,Lyle Taylor,210,Mitrović,-3.0,-8.0,-8.0,-5.0,1,4.208,0.5052,47.0,44.0,39.0,0.0,5.0,-5.0
2022-23,FAIL,6,DEF,435,Sánchez,106,Dunk,0.0,-8.0,-8.0,-8.0,1,3.7762,0.2978,47.0,47.0,39.0,0.0,1.0,-1.0
2022-23,FAIL,6,DEF,435,Sánchez,235,Struijk,-8.0,-8.0,-8.0,0.0,0,3.7025,0.2402,47.0,39.0,39.0,0.0,0.0,0.0
2022-23,FAIL,6,DEF,435,Sánchez,461,Zouma,-8.0,-8.0,-8.0,0.0,0,3.7101,0.2402,47.0,39.0,39.0,0.0,1.0,-1.0
2022-23,FAIL,8,DEF,16,Gabriel,445,Emerson Royal,7.0,2.0,2.0,-5.0,0,0.0157,0.2129,14.0,21.0,16.0,6.0,1.0,5.0
2022-23,FAIL,8,DEF,16,Gabriel,526,Mee,7.0,2.0,2.0,-5.0,0,0.0244,0.2204,14.0,21.0,16.0,6.0,1.0,5.0
2022-23,FAIL,8,MID,468,Soucek,480,Neves,2.0,2.0,2.0,0.0,0,0.0766,0.1073,14.0,16.0,16.0,2.0,1.0,1.0
2022-23,FAIL,8,GKP,182,Pickford,31,Martínez,2.0,2.0,2.0,0.0,0,0.0352,0.1838,14.0,16.0,16.0,0.0,6.0,-6.0
2022-23,FAIL,9,DEF,357,Trippier,209,Tosin,-12.0,-12.0,-12.0,0.0,0,0.0125,0.268,68.0,56.0,56.0,7.0,0.0,7.0
2022-23,FAIL,9,DEF,357,Trippier,484,Kilman,-12.0,-12.0,-12.0,0.0,0,0.016,0.2654,68.0,56.0,56.0,7.0,1.0,6.0
2022-23,FAIL,9,DEF,39,Mings,209,Tosin,-13.0,-12.0,-12.0,1.0,0,0.5632,0.0805,68.0,55.0,56.0,6.0,0.0,6.0
2022-23,FAIL,9,DEF,39,Mings,484,Kilman,-13.0,-12.0,-12.0,1.0,0,0.5668,0.0779,68.0,55.0,56.0,6.0,1.0,5.0
2022-23,FAIL,9,FWD,262,Iheanacho,356,Wilson,-13.0,-12.0,-12.0,1.0,0,0.569,0.1606,68.0,55.0,56.0,0.0,6.0,-6.0
2022-23,FAIL,11,FWD,40,Watkins,617,Aubameyang,0.0,0.0,0.0,0.0,0,0.0173,0.1028,22.0,22.0,22.0,2.0,1.0,1.0
2022-23,FAIL,11,DEF,538,Young,209,Tosin,-1.0,0.0,0.0,1.0,0,0.1042,0.0026,22.0,21.0,22.0,1.0,0.0,1.0
2022-23,FAIL,12,MID,261,Maddison,333,Fernandes,-28.0,-23.0,-23.0,5.0,0,0.5866,0.3174,67.0,39.0,44.0,0.0,11.0,-11.0
2022-23,FAIL,12,MID,264,Barnes,680,Gakpo,-14.0,-23.0,-23.0,-9.0,0,0.7976,0.4924,67.0,53.0,44.0,8.0,0.0,8.0
2022-23,FAIL,12,MID,264,Barnes,333,Fernandes,-20.0,-23.0,-23.0,-3.0,0,0.632,0.4343,67.0,47.0,44.0,8.0,11.0,-3.0
2022-23,FAIL,12,MID,465,Bowen,333,Fernandes,-28.0,-23.0,-23.0,5.0,0,0.9037,0.3586,67.0,39.0,44.0,0.0,11.0,-11.0
