season,e024_gate,gw,v_a_ctrl,v_a_treat,delta_v_a,v_b_ctrl,v_b_treat,delta_v_b,cap_ctrl,cap_treat,delta_cap,portfolio_bad,portfolio_good,g_treat
2024-25,PASS,12,43.9048,46.4196,2.5148,35.3028,37.4574,2.1546,30.0,36.0,6.0,0,1,0.0563
2024-25,PASS,13,45.7492,48.1372,2.388,36.7686,39.1183,2.3497,82.0,82.0,0.0,0,1,0.2631
2024-25,PASS,14,44.804,47.2808,2.4768,36.2232,38.298,2.0748,65.0,80.0,15.0,0,1,0.731
2024-25,PASS,15,43.6376,45.676,2.0384,35.7938,37.4283,1.6344,65.0,85.0,20.0,0,1,0.0461
2024-25,PASS,16,45.5552,48.2356,2.6804,36.6904,38.8878,2.1974,46.0,35.0,-11.0,1,0,0.9532
2024-25,PASS,17,44.2268,46.157,1.9302,36.5232,37.9504,1.4272,37.0,36.0,-1.0,1,0,0.0052
2024-25,PASS,18,47.8884,50.1056,2.2172,38.4344,40.3,1.8656,67.0,68.0,1.0,0,1,0.6094
2024-25,PASS,19,45.8544,46.662,0.8076,37.387,38.1692,0.7821,60.0,69.0,9.0,0,1,0.0441
2024-25,PASS,20,48.5176,49.686,1.1684,38.3303,39.3054,0.9751,75.0,73.0,-2.0,1,0,0.2477
2024-25,PASS,21,47.2656,47.9452,0.6796,38.5076,39.1786,0.671,55.0,55.0,0.0,0,1,0.1794
2024-25,PASS,22,48.1004,47.9412,-0.1592,38.8129,39.0437,0.2308,38.0,25.0,-13.0,1,0,0.0573
2024-25,PASS,23,49.5888,50.1124,0.5236,39.4413,39.9275,0.4862,63.0,62.0,-1.0,1,0,0.0338
2024-25,PASS,24,73.4792,73.9928,0.5136,56.5058,57.1588,0.6529,104.0,101.0,-3.0,1,0,0.1552
2024-25,PASS,25,80.2212,80.648,0.4268,60.7585,61.1406,0.3821,104.0,104.0,0.0,0,1,0.0096
2024-25,PASS,26,51.4032,51.938,0.5348,41.1862,41.7027,0.5165,65.0,82.0,17.0,0,1,0.463
2024-25,PASS,27,54.668,54.668,0.0,43.602,43.6064,0.0044,58.0,58.0,0.0,0,1,0.0
2024-25,PASS,28,55.1792,55.1692,-0.01,44.0409,44.2084,0.1674,58.0,52.0,-6.0,1,0,0.1674
2024-25,PASS,29,49.2464,49.5656,0.3192,40.1061,40.4281,0.322,56.0,58.0,2.0,0,1,0.3219
2024-25,PASS,30,55.6648,55.5476,-0.1172,44.473,44.5814,0.1084,38.0,39.0,1.0,0,1,0.1084
2024-25,PASS,31,52.536,52.536,0.0,42.7906,42.7906,0.0,41.0,41.0,0.0,0,1,0.0
2024-25,PASS,32,78.9412,78.9412,0.0,62.1526,62.1526,0.0,77.0,77.0,0.0,0,1,0.0
2024-25,PASS,33,90.0276,90.0968,0.0692,72.4386,72.4995,0.0609,78.0,78.0,0.0,0,1,0.0
2024-25,PASS,34,55.1204,55.1432,0.0228,44.293,44.3739,0.081,58.0,60.0,2.0,0,1,0.0647
2024-25,PASS,35,54.1828,54.1828,0.0,43.9032,43.9032,0.0,54.0,54.0,0.0,0,1,0.0
2024-25,PASS,36,55.4576,55.4576,0.0,44.695,44.695,0.0,33.0,33.0,0.0,0,1,0.0
2024-25,PASS,37,54.4012,54.4012,0.0,44.36,44.36,0.0,49.0,49.0,0.0,0,1,0.0
2024-25,PASS,38,55.4308,55.4308,0.0,44.5359,44.5359,0.0,46.0,46.0,0.0,0,1,0.0
2025-26,FAIL,1,37.3808,43.9732,6.5924,29.0005,34.3468,5.3463,56.0,53.0,-3.0,1,0,1.085
2025-26,FAIL,2,47.8916,48.5812,0.6896,39.0324,39.7445,0.7121,7.0,9.0,2.0,0,1,0.3154
2025-26,FAIL,3,47.9176,48.7204,0.8028,38.4931,39.689,1.196,14.0,11.0,-3.0,1,0,0.1106
2025-26,FAIL,4,44.3708,46.7268,2.356,36.0107,38.0236,2.0129,20.0,26.0,6.0,0,1,0.4644
2025-26,FAIL,5,44.1468,46.3968,2.25,35.8585,37.6757,1.8171,56.0,51.0,-5.0,1,0,0.5014
2025-26,FAIL,6,47.0832,48.8856,1.8024,38.4777,40.0144,1.5367,49.0,43.0,-6.0,1,0,0.2667
2025-26,FAIL,7,46.3084,48.0378,1.7294,38.1453,39.6037,1.4584,49.0,45.0,-4.0,1,0,0.5054
2025-26,FAIL,8,47.232,48.704,1.472,38.2039,39.5155,1.3116,71.0,76.0,5.0,0,1,0.5875
2025-26,FAIL,9,47.1344,48.6097,1.4753,38.7275,39.913,1.1855,31.0,34.0,3.0,0,1,0.1469
2025-26,FAIL,10,47.6408,49.782,2.1412,38.948,40.96,2.012,74.0,66.0,-8.0,1,0,1.0596
2025-26,FAIL,11,48.1208,48.978,0.8572,39.2615,40.0826,0.8211,37.0,61.0,24.0,0,1,0.4914
2025-26,FAIL,12,47.0404,48.1256,1.0852,38.6657,39.7171,1.0514,26.0,27.0,1.0,0,1,0.7047
2025-26,FAIL,13,48.0148,49.1432,1.1284,39.0815,39.9949,0.9134,43.0,31.0,-12.0,1,0,0.3043
2025-26,FAIL,14,45.5084,46.4324,0.924,37.4829,38.4187,0.9358,52.0,52.0,0.0,0,1,0.2419
2025-26,FAIL,15,46.452,48.0238,1.5718,37.7975,39.1035,1.3061,63.0,67.0,4.0,0,1,0.2628
2025-26,FAIL,16,47.634,48.384,0.75,39.1249,39.92,0.7951,80.0,78.0,-2.0,1,0,0.2936
2025-26,FAIL,17,46.0624,47.272,1.2096,37.4346,38.3674,0.9328,53.0,58.0,5.0,0,1,0.1435
2025-26,FAIL,18,47.6632,47.8672,0.204,39.153,39.3599,0.2069,31.0,24.0,-7.0,1,0,0.0884
2025-26,FAIL,19,47.1388,47.5944,0.4556,38.9504,39.3317,0.3813,47.0,41.0,-6.0,1,0,0.0344
2025-26,FAIL,20,47.2368,47.7692,0.5324,38.4239,39.027,0.6031,21.0,31.0,10.0,0,1,0.2513
2025-26,FAIL,21,47.9252,48.5612,0.636,39.398,39.9767,0.5787,51.0,36.0,-15.0,1,0,0.0576
2025-26,FAIL,22,45.6944,46.3128,0.6184,37.7989,38.3168,0.5179,47.0,46.0,-1.0,1,0,0.3073
2025-26,FAIL,23,49.0528,49.7968,0.744,40.1754,40.8173,0.642,23.0,26.0,3.0,0,1,0.0
2025-26,FAIL,24,47.2328,47.2772,0.0444,39.031,39.066,0.035,78.0,78.0,0.0,0,1,0.0
2025-26,FAIL,25,49.3508,49.754,0.4032,40.6125,41.0226,0.41,58.0,55.0,-3.0,1,0,0.3567
2025-26,FAIL,26,68.9552,69.1096,0.1544,55.3012,55.4371,0.1359,91.0,92.0,1.0,0,1,0.0482
2025-26,FAIL,27,51.9624,51.9624,0.0,42.4831,42.4831,0.0,33.0,33.0,0.0,0,1,0.0
2025-26,FAIL,28,51.658,51.76,0.102,42.4732,42.5305,0.0574,56.0,55.0,-1.0,1,0,0.0239
2025-26,FAIL,29,51.8824,51.8824,0.0,42.4336,42.4342,0.0006,67.0,67.0,0.0,0,1,0.0
2025-26,FAIL,30,53.07,53.3196,0.2496,43.8455,43.8456,0.0001,68.0,68.0,0.0,0,1,0.0001
2025-26,FAIL,31,49.5244,49.6212,0.0968,41.2088,41.294,0.0852,68.0,69.0,1.0,0,1,0.0253
2025-26,FAIL,32,53.7236,54.0324,0.3088,44.1282,44.1518,0.0236,45.0,43.0,-2.0,1,0,0.0236
2025-26,FAIL,33,97.2404,97.624,0.3836,79.6803,80.0179,0.3376,85.0,85.0,0.0,0,1,0.0
2025-26,FAIL,34,51.2608,51.2608,0.0,42.2131,42.2131,0.0,49.0,49.0,0.0,0,1,0.0
2025-26,FAIL,35,53.6368,53.5668,-0.07,44.3241,44.2625,-0.0616,61.0,61.0,0.0,0,1,0.0
2025-26,FAIL,36,83.3176,83.3176,0.0,65.2927,65.2927,0.0,58.0,58.0,0.0,0,1,0.0
2025-26,FAIL,37,54.3704,54.3704,0.0,44.607,44.607,0.0,71.0,71.0,0.0,0,1,0.0
2025-26,FAIL,38,52.9336,52.9336,0.0,43.5189,43.5189,0.0,26.0,26.0,0.0,0,1,0.0
