season,e024_gate,candidate,gw,role,n_enter,n_exit,n_pos_touched,n_unpaired_enter,n_unpaired_exit,flex_flag,budget_delta,n_squad_changes,cap_ctrl,cap_cand,cap_delta,g_treat,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_cand_u,enter_cand_mu,enter_ctrl_mu,enter_cost,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_cand_u,exit_mins,exit_pts,du_cand,paired,blank_enter,primary_harm,primary_mover_id
2022-23,FAIL,v1_adxg,18,primary,2,2,2,1,1,1,-10,3,41.0,40.0,-1.0,0.2263,0,0,0,610,Akanji,DEF,2.8028,2.8028,2.436,50,90.0,2.0,516,Collins,DEF,2.3844,90.0,2.0,0.4184,1,0,0,610
2022-23,FAIL,v1_adxg,19,primary,1,1,2,1,1,1,7,3,72.0,72.0,0.0,0.0173,0,0,0,283,Salah,MID,3.0824,3.0824,2.8948,129,90.0,2.0,,,,,,,,0,0,0,283
2022-23,FAIL,v1_adxg,20,primary,2,2,2,0,0,1,-16,4,69.0,74.0,5.0,0.1487,0,0,0,308,Aké,DEF,5.2592,5.2592,4.8164,50,180.0,2.0,504,Malacia,DEF,4.5724,90.0,2.0,0.6868,1,0,0,308
2022-23,FAIL,v1_adxg,20,companion,2,2,2,0,0,1,-16,4,69.0,74.0,5.0,0.1487,0,0,0,593,Casemiro,MID,4.6696,4.6696,4.7116,49,180.0,7.0,300,Gündogan,MID,5.2716,80.0,2.0,-0.602,1,0,0,308
2022-23,FAIL,v1_adxg,21,companion,3,3,3,1,1,1,-22,5,58.0,77.0,19.0,0.2448,0,0,0,11,Nketiah,FWD,2.6752,2.6752,2.6052,66,90.0,13.0,,,,,,,,0,0,0,357
2022-23,FAIL,v1_adxg,21,companion,3,3,3,1,1,1,-22,5,58.0,77.0,19.0,0.2448,0,0,0,305,Grealish,MID,3.1212,3.1212,2.7436,68,90.0,3.0,301,De Bruyne,MID,3.412,76.0,6.0,-0.2908,1,0,0,357
2022-23,FAIL,v1_adxg,21,primary,3,3,3,1,1,1,-22,5,58.0,77.0,19.0,0.2448,0,0,0,357,Trippier,DEF,2.7016,2.7016,2.62,60,90.0,8.0,258,Castagne,DEF,2.5592,90.0,1.0,0.1424,1,0,0,357
2022-23,FAIL,v1_adxg,22,primary,1,1,1,0,0,0,55,0,75.0,74.0,-1.0,0.0,0,0,0,301,De Bruyne,MID,3.0496,3.0496,2.9008,124,31.0,1.0,7,Ødegaard,MID,3.0252,76.0,2.0,0.0244,1,0,0,301
2022-23,FAIL,v1_adxg,23,primary,3,3,3,1,1,1,3,5,93.0,87.0,-6.0,0.1257,0,0,0,16,Gabriel,DEF,5.018,5.018,5.0456,52,180.0,3.0,10,White,DEF,4.8464,97.0,3.0,0.1716,1,0,0,16
2022-23,FAIL,v1_adxg,23,companion,3,3,3,1,1,1,3,5,93.0,87.0,-6.0,0.1257,0,0,0,281,Alisson,GKP,3.9176,3.9176,3.554,54,90.0,6.0,2,Leno,GKP,3.8028,90.0,6.0,0.1148,1,0,0,16
2022-23,FAIL,v1_adxg,23,companion,3,3,3,1,1,1,3,5,93.0,87.0,-6.0,0.1257,0,0,0,357,Trippier,DEF,2.9692,2.9692,2.8092,61,90.0,2.0,,,,,,,,0,0,0,16
