season,e024_gate,condition,gw,arm,cap,hits,net,transfers,ft_before,bank_after,captain,seed_gw
2022-23,FAIL,hit,21,naive,81.0,0,81.0,1,1,1,Arrizabalaga,0
2022-23,FAIL,hit,22,helper,67.0,0,67.0,1,1,6,Rashford,0
2022-23,FAIL,hit,22,roll,39.0,0,39.0,0,2,0,Meslier,0
2022-23,FAIL,hit,22,naive,69.0,0,69.0,1,1,1,Rashford,0
2022-23,FAIL,hit,23,helper,77.0,4,73.0,2,1,10,Mahrez,0
2022-23,FAIL,hit,23,roll,59.0,0,59.0,0,2,0,Saka,0
2022-23,FAIL,hit,23,naive,84.0,0,84.0,1,1,0,Mahrez,0
2022-23,FAIL,hit,24,helper,69.0,0,69.0,1,1,36,Leno,0
2022-23,FAIL,hit,24,roll,45.0,0,45.0,0,2,0,Ward,0
2022-23,FAIL,hit,24,naive,34.0,0,34.0,1,1,26,Raya,0
2022-23,FAIL,hit,25,helper,53.0,4,49.0,2,1,7,Ødegaard,0
2022-23,FAIL,hit,25,roll,60.0,0,60.0,0,2,0,Saka,0
2022-23,FAIL,hit,25,naive,48.0,0,48.0,1,1,20,Alisson,0
2022-23,FAIL,hit,26,helper,54.0,0,54.0,1,1,11,Ødegaard,0
2022-23,FAIL,hit,26,roll,36.0,0,36.0,0,2,0,Saka,0
2022-23,FAIL,hit,26,naive,43.0,0,43.0,1,1,12,Arrizabalaga,0
2022-23,FAIL,hit,27,helper,46.0,0,46.0,1,1,2,Raya,0
2022-23,FAIL,hit,27,roll,33.0,0,33.0,0,2,0,Zaha,0
2022-23,FAIL,hit,27,naive,63.0,0,63.0,1,1,8,Toney,0
2022-23,FAIL,hit,28,helper,38.0,0,38.0,1,1,10,Raya,0
2022-23,FAIL,hit,28,roll,52.0,0,52.0,0,2,0,Saka,0
2022-23,FAIL,hit,28,naive,29.0,0,29.0,1,1,15,Raya,0
2022-23,FAIL,hit,29,helper,80.0,4,76.0,2,1,23,João Félix,0
2022-23,FAIL,hit,29,roll,45.0,0,45.0,0,2,0,Ward,0
2022-23,FAIL,hit,29,naive,98.0,0,98.0,1,1,4,Arrizabalaga,0
2022-23,FAIL,hit,30,helper,35.0,0,35.0,1,1,43,Rashford,0
2022-23,FAIL,hit,30,roll,32.0,0,32.0,0,2,0,Ward,0
2022-23,FAIL,hit,30,naive,49.0,0,49.0,1,1,0,Rashford,0
2022-23,FAIL,hit,31,helper,36.0,0,36.0,1,1,63,Toney,0
2022-23,FAIL,hit,31,roll,27.0,0,27.0,0,2,0,Meslier,0
2022-23,FAIL,hit,31,naive,54.0,0,54.0,1,1,0,De Bruyne,0
2022-23,FAIL,hit,32,helper,51.0,0,51.0,1,1,29,Salah,0
2022-23,FAIL,hit,32,roll,47.0,0,47.0,0,2,0,Alexander-Arnold,0
2022-23,FAIL,hit,32,naive,45.0,0,45.0,1,1,1,Raya,0
2022-23,FAIL,hit,33,helper,52.0,0,52.0,1,1,8,Salah,0
2022-23,FAIL,hit,33,roll,44.0,0,44.0,0,2,0,Saka,0
2022-23,FAIL,hit,33,naive,84.0,0,84.0,1,1,1,De Bruyne,0
2022-23,FAIL,hit,34,helper,92.0,4,88.0,2,1,0,Salah,0
2022-23,FAIL,hit,34,roll,61.0,0,61.0,0,2,0,Alexander-Arnold,0
2022-23,FAIL,hit,34,naive,70.0,0,70.0,1,1,0,Rashford,0
2022-23,FAIL,hit,35,helper,61.0,0,61.0,0,1,0,Salah,0
2022-23,FAIL,hit,35,roll,45.0,0,45.0,0,2,0,Alexander-Arnold,0
2022-23,FAIL,hit,35,naive,37.0,0,37.0,1,1,2,Trippier,0
2022-23,FAIL,hit,36,helper,65.0,0,65.0,2,2,10,Trippier,0
2022-23,FAIL,hit,36,roll,78.0,0,78.0,0,2,0,Wilson,0
2022-23,FAIL,hit,36,naive,78.0,0,78.0,1,1,19,Trippier,0
2022-23,FAIL,hit,37,helper,53.0,4,49.0,2,1,15,Haaland,0
2022-23,FAIL,hit,37,roll,52.0,0,52.0,0,2,0,Ferguson,0
