season,gw,team_id,short_name,sh0,sa0,sh1,sa1,replaced
2022-23,16,11,LEE,1100,1090,1100,1100,1
2022-23,16,12,LIV,1220,1275,1320,1350,1
2022-23,16,13,MCI,1350,1360,1350,1370,1
2022-23,16,14,MUN,1155,1220,1150,1220,1
2022-23,16,15,NEW,1210,1260,1110,1190,1
2022-23,16,16,NFO,1050,1100,1045,1070,1
2022-23,16,17,SOU,1065,1070,1090,1100,1
2022-23,16,18,TOT,1155,1220,1210,1250,1
2022-23,16,19,WHU,1100,1130,1100,1150,1
2022-23,16,20,WOL,1080,1090,1100,1100,1
2022-23,17,1,ARS,1245,1285,1220,1270,1
2022-23,17,2,AVL,1070,1100,1090,1100,1
2022-23,17,3,BOU,1035,1095,1060,1090,1
2022-23,17,4,BRE,1115,1180,1100,1130,1
2022-23,17,5,BHA,1170,1175,1150,1160,1
2022-23,17,6,CHE,1165,1220,1200,1220,1
2022-23,17,7,CRY,1085,1100,1100,1140,1
2022-23,17,8,EVE,1055,1095,1080,1100,1
2022-23,17,9,FUL,1095,1100,1075,1100,1
2022-23,17,10,LEI,1130,1115,1130,1130,1
2022-23,17,11,LEE,1100,1090,1100,1100,1
2022-23,17,12,LIV,1220,1275,1300,1350,1
2022-23,17,13,MCI,1350,1360,1350,1370,1
2022-23,17,14,MUN,1155,1220,1150,1220,1
2022-23,17,15,NEW,1210,1260,1160,1210,1
2022-23,17,16,NFO,1050,1100,1045,1080,1
2022-23,17,17,SOU,1065,1070,1090,1100,1
2022-23,17,18,TOT,1155,1220,1190,1230,1
2022-23,17,19,WHU,1100,1130,1100,1120,1
2022-23,17,20,WOL,1080,1090,1100,1100,1
2022-23,18,1,ARS,1245,1285,1220,1270,1
2022-23,18,2,AVL,1070,1100,1090,1100,1
2022-23,18,3,BOU,1035,1095,1060,1090,1
2022-23,18,4,BRE,1115,1180,1100,1130,1
2022-23,18,5,BHA,1170,1175,1150,1160,1
2022-23,18,6,CHE,1165,1220,1200,1220,1
2022-23,18,7,CRY,1085,1100,1100,1140,1
2022-23,18,8,EVE,1055,1095,1080,1100,1
2022-23,18,9,FUL,1095,1100,1075,1100,1
2022-23,18,10,LEI,1130,1115,1130,1130,1
2022-23,18,11,LEE,1100,1090,1100,1100,1
2022-23,18,12,LIV,1220,1275,1300,1350,1
2022-23,18,13,MCI,1350,1360,1350,1370,1
2022-23,18,14,MUN,1155,1220,1150,1220,1
2022-23,18,15,NEW,1210,1260,1160,1210,1
2022-23,18,16,NFO,1050,1100,1045,1080,1
2022-23,18,17,SOU,1065,1070,1090,1100,1
2022-23,18,18,TOT,1155,1220,1190,1230,1
2022-23,18,19,WHU,1100,1130,1100,1120,1
2022-23,18,20,WOL,1080,1090,1100,1100,1
2022-23,19,1,ARS,1245,1285,1220,1270,1
2022-23,19,2,AVL,1070,1100,1090,1100,1
2022-23,19,3,BOU,1035,1095,1060,1090,1
2022-23,19,4,BRE,1115,1180,1100,1130,1
2022-23,19,5,BHA,1170,1175,1150,1160,1
2022-23,19,6,CHE,1165,1220,1200,1220,1
2022-23,19,7,CRY,1085,1100,1100,1140,1
2022-23,19,8,EVE,1055,1095,1080,1100,1
2022-23,19,9,FUL,1095,1100,1075,1100,1
2022-23,19,10,LEI,1130,1115,1130,1130,1
2022-23,19,11,LEE,1100,1090,1100,1100,1
2022-23,19,12,LIV,1220,1275,1300,1350,1
2022-23,19,13,MCI,1350,1360,1350,1370,1
2022-23,19,14,MUN,1155,1220,1150,1220,1
2022-23,19,15,NEW,1210,1260,1160,1210,1
2022-23,19,16,NFO,1050,1100,1045,1080,1
2022-23,19,17,SOU,1065,1070,1090,1100,1
2022-23,19,18,TOT,1155,1220,1190,1230,1
2022-23,19,19,WHU,1100,1130,1100,1120,1
2022-23,19,20,WOL,1080,1090,1100,1100,1
2022-23,20,1,ARS,1245,1285,1220,1270,1
2022-23,20,2,AVL,1070,1100,1090,1100,1
2022-23,20,3,BOU,1035,1095,1060,1090,1
2022-23,20,4,BRE,1115,1180,1100,1130,1
2022-23,20,5,BHA,1170,1175,1150,1160,1
2022-23,20,6,CHE,1165,1220,1200,1220,1
2022-23,20,7,CRY,1085,1100,1100,1140,1
2022-23,20,8,EVE,1055,1095,1080,1100,1
2022-23,20,9,FUL,1095,1100,1075,1100,1
2022-23,20,10,LEI,1130,1115,1130,1130,1
2022-23,20,11,LEE,1100,1090,1100,1100,1
2022-23,20,12,LIV,1220,1275,1300,1350,1
2022-23,20,13,MCI,1350,1360,1350,1370,1
2022-23,20,14,MUN,1155,1220,1150,1220,1
2022-23,20,15,NEW,1210,1260,1160,1210,1
2022-23,20,16,NFO,1050,1100,1045,1080,1
2022-23,20,17,SOU,1065,1070,1090,1100,1
2022-23,20,18,TOT,1155,1220,1190,1230,1
2022-23,20,19,WHU,1100,1130,1100,1120,1
2022-23,20,20,WOL,1080,1090,1100,1100,1
