season,cap_gate,gw,movement,player_id,web_name,position,club_transition,n_comp,recent4,demotion,demoted,ctrl_p_start,treat_p_start,p_start_delta,ctrl_mu,treat_mu,actual_minutes,blank,actual_points
2022-23,FAIL,33,left,301,De Bruyne,MID,1,5,241,cap_0.48,1,0.82,0.48,-0.34,3.7812,2.298,79.0,0,19.0
2022-23,FAIL,33,left,335,Rashford,MID,1,4,260,cap_0.48,1,0.82,0.48,-0.34,3.5928,2.2096,90.0,0,12.0
2022-23,FAIL,33,entered,233,Harrison,MID,1,3,419,hot_skip,0,0.82,0.82,0.0,3.1628,3.1628,90.0,0,8.0
2022-23,FAIL,33,entered,283,Salah,MID,1,2,354,hot_skip,0,0.82,0.82,0.0,3.756,3.756,90.0,0,2.0
2022-23,FAIL,34,left,342,Dalot,DEF,1,3,180,cap_0.48,1,0.68,0.48,-0.2,5.242,3.862,180.0,0,10.0
2022-23,FAIL,34,left,335,Rashford,MID,1,4,170,cap_0.48,1,0.82,0.48,-0.34,7.6504,4.7328,175.0,0,8.0
2022-23,FAIL,34,entered,464,Benrahma,MID,0,0,253,none,0,0.68,0.68,0.0,4.896,4.896,56.0,0,2.0
2022-23,FAIL,34,entered,461,Zouma,DEF,0,0,360,none,0,0.72,0.72,0.0,4.5608,4.5608,18.0,0,1.0
2022-23,FAIL,35,left,427,Kane,FWD,1,0,360,hot_skip,0,0.85,0.85,0.0,3.7448,3.7448,90.0,0,8.0
2022-23,FAIL,35,left,335,Rashford,MID,1,4,265,cap_0.48,1,0.82,0.48,-0.34,3.6484,2.2376,90.0,0,2.0
2022-23,FAIL,35,entered,680,Gakpo,MID,1,3,312,hot_skip,0,0.72,0.72,0.0,3.5344,3.5344,90.0,0,3.0
2022-23,FAIL,35,entered,285,Alexander-Arnold,DEF,1,3,450,hot_skip,0,0.82,0.82,0.0,3.5672,3.5672,90.0,0,7.0
2022-23,FAIL,37,left,301,De Bruyne,MID,1,5,169,cap_0.48,1,0.82,0.48,-0.34,7.5644,4.7072,68.0,0,2.0
2022-23,FAIL,37,entered,300,Gündogan,MID,1,5,328,hot_skip,0,0.82,0.82,0.0,6.9916,6.9916,90.0,0,2.0
2022-23,FAIL,38,left,342,Dalot,DEF,1,3,183,cap_0.48,1,0.82,0.48,-0.34,3.3568,1.9604,90.0,0,2.0
2022-23,FAIL,38,entered,10,White,DEF,0,0,360,none,0,0.85,0.85,0.0,3.1556,3.1556,90.0,0,6.0
2023-24,PASS,1,left,290,Alexander-Arnold,DEF,1,2,0,cap_0.48,1,0.72,0.48,-0.24,2.4604,1.7336,90.0,0,1.0
