season,gw,evaluation_status,player_id,web_name,position,now_cost,in_b0_xi,in_v1_xi,in_b0_squad,in_v1_squad,is_v1_captain,is_b0_captain,actual_points,v1_mu,b0_mu,v1_horizon_u,v1_p_start,horizon_flag,minutes_flag,fixture_flag,price_value_flag,captain_flag,projection_rank_flag
2025-26,4,clean,237,Enzo,MID,66,1,0,1,0,0,0,4.0,1.152,9.2,5.7787,0.28,0,0,0,0,0,1
2025-26,4,clean,241,Caicedo,MID,55,1,0,1,0,0,0,12.0,1.3436,8.5,6.3806,0.28,0,0,0,0,0,1
2025-26,4,clean,249,João Pedro,FWD,77,1,0,1,0,0,0,7.0,1.2284,10.8,5.6408,0.28,0,0,0,0,0,1
2025-26,4,clean,260,Guéhi,DEF,46,1,0,1,0,0,0,6.0,1.0828,8.2,4.6852,0.28,0,0,0,0,0,1
2025-26,4,clean,287,Pickford,GKP,55,1,0,1,0,0,0,6.0,0.3348,7.3,1.5199,0.08,0,0,0,0,0,1
2025-26,4,clean,373,Virgil,DEF,60,1,0,1,0,0,0,8.0,1.4892,7.8,7.1526,0.28,0,0,0,0,0,1
2025-26,4,clean,387,Szoboszlai,MID,65,1,0,1,0,0,0,3.0,1.3104,7.5,6.3133,0.28,0,0,0,0,0,1
2025-26,4,clean,403,Gvardiol,DEF,58,0,1,0,1,0,0,6.0,3.8988,2.5,17.0671,0.9,1,0,0,0,0,0
2025-26,4,clean,414,Foden,MID,80,0,1,0,1,0,0,12.0,4.1764,4.8,18.7872,0.72,1,0,0,0,0,0
2025-26,4,clean,415,Savinho,MID,69,0,1,0,1,0,0,1.0,3.6628,0.8,16.3513,0.68,1,0,0,0,0,0
2025-26,4,clean,430,Haaland,FWD,141,1,0,1,0,0,0,13.0,2.0192,8.5,9.2662,0.28,0,0,0,0,0,1
2025-26,4,clean,437,Martinez,DEF,49,0,1,0,1,0,0,0.0,1.9976,0.0,10.525,0.68,1,0,0,1,0,0
2025-26,4,clean,453,Garnacho,MID,64,0,1,0,1,0,0,1.0,3.356,0.8,16.3886,0.82,1,0,0,0,0,0
2025-26,4,clean,499,Isak,FWD,104,0,1,0,1,1,0,0.0,5.0444,1.5,24.3654,0.9,1,0,0,0,1,1
2025-26,4,clean,674,Ramsdale,GKP,49,0,1,0,1,0,0,0.0,3.7888,0.5,16.786,0.88,1,0,0,1,0,1
2025-26,5,clean,16,Saka,MID,98,0,1,0,1,0,0,1.0,3.8488,0.1,16.7093,0.72,1,0,0,0,0,0
2025-26,5,clean,72,Senesi,DEF,47,1,0,1,1,0,0,9.0,1.4776,8.2,6.6884,0.28,0,0,0,0,0,1
2025-26,5,clean,81,Kluivert,MID,70,0,1,0,1,0,0,1.0,3.3532,0.5,14.9886,0.72,1,0,0,0,0,0
2025-26,5,clean,135,Wissa,FWD,75,0,1,0,1,0,0,0.0,4.5144,0.0,22.3672,0.9,1,0,0,0,0,0
2025-26,5,clean,226,Chalobah,DEF,51,1,0,1,1,0,0,8.0,1.2336,8.5,6.3315,0.28,0,0,0,0,0,1
2025-26,5,clean,227,Colwill,DEF,48,0,1,0,1,0,0,0.0,2.5376,0.0,13.1381,0.9,1,0,0,1,0,0
2025-26,5,clean,235,Palmer,MID,104,0,1,0,1,0,0,1.0,3.4572,3.2,17.5651,0.72,1,0,0,0,0,1
2025-26,5,clean,241,Caicedo,MID,56,1,0,1,0,0,0,4.0,1.4336,7.2,6.7313,0.28,0,0,0,0,0,1
2025-26,5,clean,260,Guéhi,DEF,47,1,0,1,0,0,0,7.0,0.9008,9.3,4.6757,0.28,0,0,0,0,0,1
2025-26,5,clean,373,Virgil,DEF,61,1,0,1,0,0,0,4.0,1.488,7.7,6.6905,0.28,0,0,0,0,0,1
2025-26,5,clean,390,Gravenberch,MID,55,1,0,1,0,0,0,15.0,1.0912,7.7,4.8786,0.28,0,0,0,0,0,1
2025-26,5,clean,414,Foden,MID,80,0,1,0,1,0,0,3.0,3.5036,5.0,17.0482,0.72,1,0,0,0,0,0
2025-26,5,clean,430,Haaland,FWD,142,1,0,1,0,0,1,9.0,1.8664,10.3,9.4414,0.28,0,0,0,0,1,1
2025-26,5,clean,437,Martinez,DEF,49,0,1,0,1,0,0,0.0,2.4828,0.0,10.6776,0.68,1,0,0,1,0,0
2025-26,5,clean,449,B.Fernandes,MID,90,1,0,1,0,0,0,10.0,1.9772,6.8,9.157,0.28,0,0,0,0,0,1
2025-26,5,clean,469,Pope,GKP,50,1,0,1,0,0,0,6.0,0.294,6.8,1.4947,0.08,0,0,0,0,0,1
2025-26,5,clean,476,Burn,DEF,50,1,0,1,0,0,0,9.0,0.938,7.5,5.0481,0.28,0,0,0,0,0,1
