gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
20,B1_season_pts,790,1.294,2.312,-0.2114,0.5191,47.0,2
20,B2_pp90,790,1.5949,2.6438,-0.5402,0.5201,30.0,2
20,B3_v1,790,1.0936,2.173,0.2817,0.5034,31.0,2
21,B0_xp,795,1.1384,2.543,1.1258,0.4208,22.0,6
21,B1_season_pts,795,1.1932,2.1159,-0.2078,0.5546,59.0,6
21,B2_pp90,795,1.4798,2.4667,-0.5574,0.558,44.0,6
21,B3_v1,795,1.026,1.9935,0.2426,0.5417,55.0,6
22,B0_xp,799,1.1452,2.4736,1.1402,0.4407,10.0,0
22,B1_season_pts,799,1.229,2.1075,-0.1767,0.562,32.0,2
22,B2_pp90,799,1.5477,2.4932,-0.5721,0.5725,26.0,2
22,B3_v1,799,1.0407,1.9335,0.2475,0.5619,39.0,10
23,B0_xp,803,1.1171,2.5224,1.1096,0.4256,15.0,1
23,B1_season_pts,803,1.2192,2.1218,-0.19,0.5765,23.0,1
23,B2_pp90,803,1.5823,2.571,-0.6111,0.5861,22.0,1
23,B3_v1,803,1.0539,2.0358,0.2019,0.5545,22.0,1
24,B0_xp,811,0.7482,1.5281,0.0286,0.7492,106.0,10
24,B1_season_pts,811,1.1807,2.127,-0.1714,0.5526,37.0,5
24,B2_pp90,811,1.4944,2.4749,-0.6447,0.601,47.0,5
24,B3_v1,811,1.0175,2.0104,0.1828,0.5791,65.0,10
25,B0_xp,817,1.0698,2.4867,1.06,0.4221,10.0,0
25,B1_season_pts,817,1.1445,2.0775,-0.1989,0.5627,59.0,11
25,B2_pp90,817,1.5382,2.5148,-0.7065,0.6104,44.0,2
25,B3_v1,817,0.9857,1.9791,0.124,0.5791,63.0,11
26,B0_xp,817,1.0416,2.4512,1.0367,0.4536,4.0,0
26,B1_season_pts,817,1.1565,2.0962,-0.2086,0.5527,54.0,5
26,B2_pp90,817,1.5751,2.5659,-0.7553,0.5734,37.0,1
26,B3_v1,817,1.067,2.015,-0.0083,0.5454,48.0,9
27,B0_xp,818,1.1198,2.5698,1.1149,0.4152,17.0,0
27,B1_season_pts,818,1.1404,2.0678,-0.1253,0.5796,36.0,6
27,B2_pp90,818,1.5644,2.5542,-0.7013,0.5899,22.0,2
27,B3_v1,818,1.0257,2.0409,0.1522,0.5849,33.0,6
28,B0_xp,819,1.0403,2.454,1.0305,0.4733,37.0,0
28,B1_season_pts,819,1.1207,2.0205,-0.2035,0.5589,40.0,0
28,B2_pp90,819,1.5228,2.4884,-0.7973,0.6055,22.0,0
28,B3_v1,819,1.0097,1.9606,0.0591,0.5544,54.0,13
29,B0_xp,820,0.8117,1.5757,0.0554,0.7367,86.0,1
29,B1_season_pts,820,1.1645,2.0864,-0.1237,0.5621,38.0,2
29,B2_pp90,820,1.5998,2.5898,-0.7411,0.5916,43.0,2
29,B3_v1,820,1.0491,2.0246,0.1092,0.5619,64.0,2
30,B0_xp,822,1.1679,2.5469,1.163,0.4122,12.0,0
30,B1_season_pts,822,1.1628,2.0201,-0.0547,0.5918,38.0,2
30,B2_pp90,822,1.5549,2.4819,-0.6817,0.6173,40.0,2
30,B3_v1,822,1.0753,2.0227,0.1558,0.583,68.0,10
31,B0_xp,664,1.122,2.561,1.113,0.447,24.0,0
31,B1_season_pts,664,1.0802,1.9935,-0.0619,0.6214,38.0,0
31,B2_pp90,664,1.4631,2.394,-0.6733,0.6679,30.0,0
31,B3_v1,664,1.0394,1.992,0.1363,0.5859,58.0,13
32,B0_xp,826,1.1041,2.6499,1.0944,0.4288,22.0,0
32,B1_season_pts,826,1.0984,2.1481,-0.1054,0.5958,32.0,2
32,B2_pp90,826,1.5719,2.6498,-0.767,0.6119,34.0,2
32,B3_v1,826,1.0446,2.1579,0.0611,0.5775,40.0,4
33,B0_xp,829,1.1472,2.5993,1.1448,0.4466,35.0,0
33,B1_season_pts,829,1.1157,2.0403,-0.0469,0.5949,42.0,7
33,B2_pp90,829,1.5081,2.5325,-0.7193,0.6393,45.0,8
33,B3_v1,829,1.2226,2.2099,-0.2232,0.5564,41.0,7
34,B0_xp,582,1.0808,2.5074,1.0739,0.4556,9.0,0
34,B1_season_pts,582,1.0886,1.9713,-0.0887,0.5738,18.0,0
34,B2_pp90,582,1.4917,2.4192,-0.7616,0.6405,15.0,0
34,B3_v1,582,1.0403,1.9433,0.0287,0.5683,49.0,5
35,B0_xp,832,1.0541,2.48,1.0469,0.4329,40.0,0
35,B1_season_pts,832,1.0583,1.9685,-0.1355,0.5807,56.0,7
35,B2_pp90,832,1.5443,2.5099,-0.8441,0.5914,55.0,6
35,B3_v1,832,1.0037,1.9394,-0.0236,0.5735,64.0,5
36,B0_xp,838,1.0597,2.4548,1.0501,0.4407,17.0,0
36,B1_season_pts,838,1.0946,1.9661,-0.1163,0.5791,53.0,0
36,B2_pp90,838,1.5742,2.5056,-0.8523,0.6265,31.0,2
36,B3_v1,838,1.1394,2.1041,-0.1596,0.5911,25.0,0
37,B0_xp,840,1.0393,2.4652,1.0393,0.435,15.0,0
37,B1_season_pts,840,1.0311,1.9378,-0.1202,0.6061,66.0,9
37,B2_pp90,840,1.5473,2.5134,-0.8787,0.646,64.0,9
37,B3_v1,840,0.9715,1.8597,-0.0433,0.6381,62.0,9
38,B0_xp,841,0.8394,1.6672,0.0268,0.7627,56.0,13
38,B1_season_pts,841,1.1352,2.0076,-0.1097,0.536,27.0,0
38,B2_pp90,841,1.615,2.5442,-0.8734,0.5443,29.0,0
38,B3_v1,841,1.0398,1.9406,-0.046,0.6077,27.0,0
