gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
17,B2_pp90,701,1.7554,2.8242,-0.4473,0.4879,68.0,21
17,B3_v1,701,1.258,2.5797,0.5331,0.4472,27.0,3
18,B0_xp,705,0.9023,1.6023,0.0662,0.6841,88.0,9
18,B1_season_pts,705,1.212,2.0715,-0.0915,0.5314,60.0,9
18,B2_pp90,705,1.606,2.4767,-0.5384,0.5085,57.0,9
18,B3_v1,705,1.0945,2.053,0.4271,0.4609,62.0,9
19,B0_xp,709,0.9468,1.7457,0.0309,0.6745,97.0,16
19,B1_season_pts,709,1.2468,2.1567,-0.135,0.5246,77.0,16
19,B2_pp90,709,1.5948,2.5032,-0.6128,0.5172,78.0,16
19,B3_v1,709,1.0788,2.1442,0.3578,0.5103,70.0,16
20,B0_xp,711,0.8385,1.5522,-0.0141,0.6891,91.0,7
20,B1_season_pts,711,1.1543,1.9842,-0.2149,0.5327,74.0,7
20,B2_pp90,711,1.5549,2.4538,-0.7255,0.5075,61.0,7
20,B3_v1,711,1.0323,1.9859,0.2453,0.4904,38.0,7
21,B0_xp,724,0.8638,1.682,0.0097,0.7548,85.0,2
21,B1_season_pts,724,1.1402,2.0841,-0.1385,0.5599,48.0,2
21,B2_pp90,724,1.561,2.5107,-0.6561,0.5416,42.0,2
21,B3_v1,724,1.0355,2.0932,0.2761,0.4971,52.0,2
22,B0_xp,729,1.1838,2.7565,1.1674,0.4098,-1.0,0
22,B1_season_pts,729,1.2538,2.277,-0.0767,0.5431,50.0,3
22,B2_pp90,729,1.649,2.6176,-0.6235,0.5338,46.0,3
22,B3_v1,729,1.1255,2.2619,0.312,0.5184,38.0,3
23,B0_xp,756,0.9591,1.9372,0.1324,0.6952,82.0,7
23,B1_season_pts,756,1.2436,2.399,0.0259,0.4904,68.0,8
23,B2_pp90,756,1.6624,2.7787,-0.5134,0.4928,73.0,8
23,B3_v1,756,1.1677,2.4302,0.3662,0.4667,76.0,8
24,B0_xp,762,1.0815,2.1891,-0.1878,0.7515,83.0,10
24,B1_season_pts,762,1.2859,2.4544,-0.0082,0.48,78.0,13
24,B2_pp90,762,1.736,2.8777,-0.5575,0.48,66.0,13
24,B3_v1,762,1.2293,2.4712,0.2324,0.4596,43.0,13
25,B0_xp,779,0.9407,1.924,-0.0729,0.7478,110.0,12
25,B1_season_pts,779,1.2252,2.4382,0.05,0.5192,67.0,12
25,B2_pp90,779,1.6691,2.8913,-0.4941,0.4669,63.0,12
25,B3_v1,779,1.1979,2.458,0.2356,0.4943,63.0,12
26,B0_xp,783,0.9387,1.881,0.0876,0.712,111.0,14
26,B1_season_pts,783,1.315,2.5386,0.1013,0.5193,80.0,14
26,B2_pp90,783,1.78,2.9812,-0.4666,0.4892,61.0,14
26,B3_v1,783,1.2636,2.6076,0.3862,0.4833,69.0,14
27,B0_xp,784,0.8015,1.5852,0.0352,0.7718,112.0,20
27,B1_season_pts,784,1.204,2.2879,0.0474,0.5361,56.0,6
27,B2_pp90,784,1.6603,2.7848,-0.5199,0.5066,42.0,6
27,B3_v1,784,1.1327,2.3153,0.3133,0.4939,58.0,6
28,B0_xp,789,0.861,1.561,0.0133,0.6649,111.0,15
28,B1_season_pts,789,1.0883,1.9916,0.0009,0.5698,64.0,15
28,B2_pp90,789,1.5781,2.5609,-0.575,0.5187,51.0,15
28,B3_v1,789,1.0591,2.0293,0.2571,0.5331,58.0,15
29,B0_xp,639,0.7889,1.5672,0.0612,0.8026,101.0,17
29,B1_season_pts,639,1.1357,2.144,0.035,0.5589,12.0,0
29,B2_pp90,639,1.6414,2.7003,-0.5324,0.4612,7.0,0
29,B3_v1,639,1.1057,2.206,0.2574,0.4853,58.0,7
30,B0_xp,791,0.7843,1.4189,-0.0018,0.6887,95.0,11
30,B1_season_pts,791,1.1639,2.1188,0.0028,0.5502,38.0,3
30,B2_pp90,791,1.6581,2.6869,-0.6072,0.4825,38.0,3
30,B3_v1,791,1.1108,2.1127,0.2216,0.5191,38.0,3
31,B0_xp,792,0.8199,1.5587,0.0278,0.7677,123.0,16
31,B1_season_pts,792,1.1838,2.2422,0.0428,0.573,22.0,2
31,B2_pp90,792,1.7041,2.788,-0.5807,0.485,27.0,2
31,B3_v1,792,1.1134,2.2567,0.2595,0.5703,39.0,2
32,B0_xp,798,1.2193,2.8503,1.1942,0.3981,34.0,0
32,B1_season_pts,798,1.2591,2.3953,0.0533,0.5296,46.0,6
32,B2_pp90,798,1.7676,2.914,-0.5835,0.474,35.0,6
32,B3_v1,798,1.2544,2.4276,0.1449,0.5024,47.0,6
33,B0_xp,799,1.1691,2.2216,-0.3804,0.6494,55.0,8
33,B1_season_pts,799,1.1119,1.9364,-0.1103,0.5388,58.0,3
33,B2_pp90,799,1.6586,2.6005,-0.7634,0.4845,33.0,3
33,B3_v1,799,1.1844,2.1412,-0.1364,0.4995,15.0,0
34,B0_xp,645,1.2062,2.8081,1.1907,0.4157,4.0,0
34,B1_season_pts,645,1.1203,2.1763,0.0851,0.5804,50.0,8
34,B2_pp90,645,1.6333,2.7482,-0.5211,0.5437,37.0,8
34,B3_v1,645,1.0975,2.295,0.2452,0.5916,66.0,8
35,B0_xp,801,0.8925,1.6392,-0.0191,0.7489,76.0,10
35,B1_season_pts,801,1.1121,2.0311,-0.0416,0.5727,36.0,2
35,B2_pp90,801,1.6935,2.6879,-0.7166,0.4911,26.0,2
35,B3_v1,801,1.0593,2.0372,0.119,0.5807,52.0,2
36,B0_xp,801,0.8839,1.6694,0.0911,0.7843,86.0,9
36,B1_season_pts,801,1.1627,2.0918,0.0819,0.5821,46.0,2
36,B2_pp90,801,1.7288,2.7252,-0.5995,0.5105,29.0,2
36,B3_v1,801,1.1265,2.1848,0.2239,0.6189,31.0,2
37,B0_xp,801,0.8313,1.6182,0.0236,0.7698,102.0,19
37,B1_season_pts,801,1.2276,2.277,0.0397,0.534,36.0,2
37,B2_pp90,801,1.7946,2.8509,-0.6491,0.455,20.0,2
37,B3_v1,801,1.1242,2.2887,0.1701,0.6069,45.0,2
38,B0_xp,804,0.933,1.7804,0.0588,0.7129,97.0,10
38,B1_season_pts,804,1.1679,2.277,0.0708,0.5598,61.0,10
38,B2_pp90,804,1.7755,2.914,-0.6406,0.4838,38.0,10
38,B3_v1,804,1.0857,2.3209,0.1875,0.6859,44.0,10
